method,model_seed,city_seed,city_split,condition,condition_group,episode,eval_seed,image_noise_sigma,range_noise_sigma,latency_ms,success,collision,timeout,reward,steps,init_distance,final_distance,best_distance,min_obstacle_distance,avg_speed,path_length,path_efficiency,successful_path_stretch
HW_GA_SAC,3,3,city1_4_unseen,latency_50ms,latency_curve,0,1213000,0.0,0.0,50.0,1,0,0,195.28849070718468,750,930.1137084960938,9.989021301269531,9.989021301269531,2.528179168701172,13.445650858481725,1007.9005325434979,0.922822916016222,1.0836315208956313
HW_GA_SAC,3,3,city1_4_unseen,latency_50ms,latency_curve,1,1213001,0.0,0.0,50.0,1,0,0,220.68590973418907,868,881.8348999023438,9.947741508483887,9.947741508483887,10.490946769714355,12.396757939238153,1076.0902683438524,0.819480415206732,1.220285416763411
HW_GA_SAC,3,3,city1_4_unseen,latency_50ms,latency_curve,2,1213002,0.0,0.0,50.0,1,0,0,212.08398535163292,878,963.7340087890625,9.981205940246582,9.981205940246582,4.406459808349609,12.565231070703145,1103.2456077560648,0.8735443875903929,1.1447615189405835
HW_GA_SAC,3,3,city1_4_unseen,latency_50ms,latency_curve,3,1213003,0.0,0.0,50.0,1,0,0,94.48678440594328,1051,863.025146484375,9.926823616027832,9.926823616027832,0.020553434267640114,10.56361128243801,1109.535399617897,0.7778256978385589,1.2856350758001753
HW_GA_SAC,3,3,city1_4_unseen,latency_50ms,latency_curve,4,1213004,0.0,0.0,50.0,1,0,0,214.3878802645052,1022,924.9240112304688,9.9721040725708,9.9721040725708,3.980854034423828,12.016935521609163,1227.3598186598008,0.7535883097757161,1.3269844914362077
HW_GA_SAC,3,3,city1_4_unseen,latency_50ms,latency_curve,5,1213005,0.0,0.0,50.0,1,0,0,210.75268764192185,869,935.2561645507812,9.936654090881348,9.936654090881348,2.2635650634765625,12.569089007322752,1091.7868129736823,0.8566289255715033,1.1673666043121835
HW_GA_SAC,3,3,city1_4_unseen,latency_50ms,latency_curve,6,1213006,0.0,0.0,50.0,1,0,0,214.68006763944493,783,922.2115478515625,9.986319541931152,9.986319541931152,10.400582313537598,13.891231623645943,1087.8189231514166,0.8477620017676392,1.179576340901025
HW_GA_SAC,3,3,city1_4_unseen,latency_50ms,latency_curve,7,1213007,0.0,0.0,50.0,1,0,0,215.27950099617127,866,961.2017822265625,9.962814331054688,9.962814331054688,8.929933547973633,13.292881795357887,1150.6556117557034,0.8353514052392559,1.1971009969314488
HW_GA_SAC,3,3,city1_4_unseen,latency_50ms,latency_curve,8,1213008,0.0,0.0,50.0,0,1,0,-181.7129339943142,716,953.62548828125,274.1285705566406,257.34283447265625,0.0,12.538668412985748,897.3284420801216,1.0627385063941857,nan
HW_GA_SAC,3,3,city1_4_unseen,latency_50ms,latency_curve,9,1213009,0.0,0.0,50.0,1,0,0,215.75124998652313,945,992.1788330078125,9.982078552246094,9.982078552246094,10.04899787902832,12.65032114351868,1194.9830629437834,0.8302869419451249,1.2044028991438622
