method,model_seed,city_seed,city_split,condition,condition_group,episode,eval_seed,image_noise_sigma,range_noise_sigma,latency_ms,success,collision,timeout,reward,steps,init_distance,final_distance,best_distance,min_obstacle_distance,avg_speed,path_length,path_efficiency,successful_path_stretch
HW_GA_SAC,2,42,city42_train_replay,mild_noise_latency_30ms,combined,0,1152000,0.01,0.01,30.0,1,0,0,231.16239337073776,966,937.007568359375,9.85127067565918,9.85127067565918,4.0247802734375,13.679529718607355,1320.9031985142549,0.7093688389984341,1.4097038733924532
HW_GA_SAC,2,42,city42_train_replay,mild_noise_latency_30ms,combined,1,1152001,0.01,0.01,30.0,1,0,0,217.0063795912699,951,980.0938110351562,9.988210678100586,9.988210678100586,3.3120269775390625,13.916209489451848,1323.4946755222531,0.7405347593471879,1.3503755055083997
HW_GA_SAC,2,42,city42_train_replay,mild_noise_latency_30ms,combined,2,1152002,0.01,0.01,30.0,1,0,0,235.5623003802074,939,899.4509887695312,9.983452796936035,9.983452796936035,5.004447937011719,14.304877906307752,1342.770251799313,0.6698472710162192,1.4928776204207104
HW_GA_SAC,2,42,city42_train_replay,mild_noise_latency_30ms,combined,3,1152003,0.01,0.01,30.0,1,0,0,228.29323759341807,943,949.0716552734375,9.92831039428711,9.92831039428711,4.500511169433594,14.2409571498348,1343.7003593231418,0.7063119754998879,1.415804962519935
HW_GA_SAC,2,42,city42_train_replay,mild_noise_latency_30ms,combined,4,1152004,0.01,0.01,30.0,1,0,0,205.7185537159375,875,873.4547729492188,9.89093017578125,9.89093017578125,0.8079147338867188,13.532181053025383,1183.5494771299968,0.7379959941068704,1.3550209052424589
HW_GA_SAC,2,42,city42_train_replay,mild_noise_latency_30ms,combined,5,1152005,0.01,0.01,30.0,1,0,0,237.51985966845058,1015,903.6558837890625,9.926006317138672,9.926006317138672,5.27667236328125,13.624968436257593,1383.077257892111,0.6533661649286937,1.5305353317601573
HW_GA_SAC,2,42,city42_train_replay,mild_noise_latency_30ms,combined,6,1152006,0.01,0.01,30.0,1,0,0,206.35214861709275,903,874.4635009765625,9.967379570007324,9.967379570007324,1.6279487609863281,13.787152336813419,1244.915867780144,0.7024277893861623,1.4236338811052451
HW_GA_SAC,2,42,city42_train_replay,mild_noise_latency_30ms,combined,7,1152007,0.01,0.01,30.0,1,0,0,193.00638201082242,918,851.1594848632812,9.886947631835938,9.886947631835938,1.2481346130371094,13.928014400867594,1279.0373495271888,0.6654688271440411,1.502699990158291
HW_GA_SAC,2,42,city42_train_replay,mild_noise_latency_30ms,combined,8,1152008,0.01,0.01,30.0,1,0,0,188.2908390311606,945,858.0263671875,9.91312026977539,9.91312026977539,1.044158935546875,13.87041270840105,1310.6105823092764,0.6546768191629204,1.5274712205002385
HW_GA_SAC,2,42,city42_train_replay,mild_noise_latency_30ms,combined,9,1152009,0.01,0.01,30.0,1,0,0,188.05336137417413,967,943.2232666015625,9.920429229736328,9.920429229736328,0.9031982421875,13.114925813835187,1268.806622384934,0.7433940286571147,1.3451816418359246
