method,model_seed,city_seed,city_split,condition,condition_group,episode,eval_seed,image_noise_sigma,range_noise_sigma,latency_ms,success,collision,timeout,reward,steps,init_distance,final_distance,best_distance,min_obstacle_distance,avg_speed,path_length,path_efficiency,successful_path_stretch
HW_GA_SAC,5,3,city1_4_unseen,mild_noise,noise_curve,0,1413000,0.01,0.01,0.0,1,0,0,217.4112139194118,1258,995.4775390625,9.980727195739746,9.980727195739746,9.806812286376953,11.302170971808259,1420.2307375775,0.7009266260216948,1.4266828550597084
HW_GA_SAC,5,3,city1_4_unseen,mild_noise,noise_curve,1,1413001,0.01,0.01,0.0,1,0,0,201.75968763049178,864,870.864501953125,9.98268985748291,9.98268985748291,2.7018966674804688,13.016229693122485,1123.7920038820712,0.7749338836232831,1.2904326693322496
HW_GA_SAC,5,3,city1_4_unseen,mild_noise,noise_curve,2,1413002,0.01,0.01,0.0,1,0,0,218.17942185831657,992,905.6123657226562,9.960254669189453,9.960254669189453,8.767579078674316,12.298481049436715,1218.5165958657396,0.7432088892307871,1.3455167376092458
HW_GA_SAC,5,3,city1_4_unseen,mild_noise,noise_curve,3,1413003,0.01,0.01,0.0,1,0,0,208.72689590740015,1130,858.8508911132812,9.984554290771484,9.984554290771484,4.0742268562316895,11.334657487405085,1279.3548591948522,0.6713156126626114,1.489612309229248
HW_GA_SAC,5,3,city1_4_unseen,mild_noise,noise_curve,4,1413004,0.01,0.01,0.0,0,0,1,-25.660278409817025,2200,952.733154296875,20.60434341430664,17.2392578125,22.846298217773438,8.604647172337229,1890.6843012201698,0.5039091685915096,nan
HW_GA_SAC,5,3,city1_4_unseen,mild_noise,noise_curve,5,1413005,0.01,0.01,0.0,1,0,0,220.5443879084945,959,946.26708984375,9.995922088623047,9.995922088623047,17.915332794189453,12.782922874526262,1225.0223857245512,0.7724488147080442,1.294584160088279
HW_GA_SAC,5,3,city1_4_unseen,mild_noise,noise_curve,6,1413006,0.01,0.01,0.0,1,0,0,219.40505423786578,949,920.7789306640625,9.90731430053711,9.90731430053711,16.3463191986084,12.83311022653218,1216.7727024376434,0.756738648738095,1.3214601919269713
HW_GA_SAC,5,3,city1_4_unseen,mild_noise,noise_curve,7,1413007,0.01,0.01,0.0,1,0,0,218.1375644244085,1158,926.0864868164062,9.980805397033691,9.980805397033691,11.832240104675293,11.816260857594445,1367.2820491940358,0.6773192753918632,1.47640859537247
HW_GA_SAC,5,3,city1_4_unseen,mild_noise,noise_curve,8,1413008,0.01,0.01,0.0,1,0,0,215.47701293277652,874,943.1871948242188,9.916772842407227,9.916772842407227,13.370613098144531,13.390983373404096,1169.5042393977778,0.8064846308807753,1.2399492336362112
HW_GA_SAC,5,3,city1_4_unseen,mild_noise,noise_curve,9,1413009,0.01,0.01,0.0,1,0,0,217.1961024734984,890,863.61865234375,9.893145561218262,9.893145561218262,12.14071273803711,12.933980547042376,1150.2800603669712,0.75078990073794,1.3319305427751693
