method,model_seed,city_seed,city_split,condition,condition_group,episode,eval_seed,image_noise_sigma,range_noise_sigma,latency_ms,success,collision,timeout,reward,steps,init_distance,final_distance,best_distance,min_obstacle_distance,avg_speed,path_length,path_efficiency,successful_path_stretch
HW_GA_SAC,1,4,city1_4_unseen,mild_noise,noise_curve,0,1014000,0.01,0.01,0.0,1,0,0,243.64426822427123,1029,910.7252197265625,9.928018569946289,9.928018569946289,21.279037475585938,14.805508600611265,1522.1400436106246,0.5983189415122786,1.6713493934730765
HW_GA_SAC,1,4,city1_4_unseen,mild_noise,noise_curve,1,1014001,0.01,0.01,0.0,1,0,0,240.402336527867,1034,960.0404052734375,9.983521461486816,9.983521461486816,9.583722114562988,14.857846421476028,1535.1533710246663,0.625371004222621,1.5990507926459885
HW_GA_SAC,1,4,city1_4_unseen,mild_noise,noise_curve,2,1014002,0.01,0.01,0.0,1,0,0,241.7615565497569,962,910.5248413085938,9.950630187988281,9.950630187988281,19.543289184570312,15.307654051052062,1471.9819002723448,0.6185706774927934,1.616630138456006
HW_GA_SAC,1,4,city1_4_unseen,mild_noise,noise_curve,3,1014003,0.01,0.01,0.0,1,0,0,245.70428554574386,1004,902.5653076171875,9.918502807617188,9.918502807617188,19.756332397460938,15.204240252772175,1525.3453639824584,0.591712099390212,1.6900110730041662
HW_GA_SAC,1,4,city1_4_unseen,mild_noise,noise_curve,4,1014004,0.01,0.01,0.0,1,0,0,242.13684377624168,1096,992.7196044921875,9.988424301147461,9.988424301147461,10.312933921813965,14.549550609867069,1593.7322696418214,0.6228898186991554,1.605420364854257
HW_GA_SAC,1,4,city1_4_unseen,mild_noise,noise_curve,5,1014005,0.01,0.01,0.0,0,0,1,0.7326995351946266,2200,958.9583129882812,18.866125106811523,10.851503372192383,19.913877487182617,9.688033342036334,2129.596367344688,0.4503005018664497,nan
HW_GA_SAC,1,4,city1_4_unseen,mild_noise,noise_curve,6,1014006,0.01,0.01,0.0,1,0,0,241.92345337288526,918,858.92041015625,9.846793174743652,9.846793174743652,18.817611694335938,15.082262477389088,1383.4168560168844,0.6208688338735747,1.6106461549391065
HW_GA_SAC,1,4,city1_4_unseen,mild_noise,noise_curve,7,1014007,0.01,0.01,0.0,0,0,1,-102.75049049640886,2200,872.5239868164062,802.5648193359375,786.6074829101562,4.983931541442871,4.073297473657877,889.8647377528783,0.980513048555827,nan
HW_GA_SAC,1,4,city1_4_unseen,mild_noise,noise_curve,8,1014008,0.01,0.01,0.0,1,0,0,244.7075691537505,972,860.213134765625,9.83979606628418,9.83979606628418,19.756927490234375,15.345057322103301,1491.0062763082979,0.5769346168652595,1.7332986629116511
HW_GA_SAC,1,4,city1_4_unseen,mild_noise,noise_curve,9,1014009,0.01,0.01,0.0,1,0,0,247.03631288899442,1045,897.4899291992188,9.997133255004883,9.997133255004883,19.675643920898438,15.470807666869826,1615.8476318350954,0.5554298013730119,1.8004075358002378
