method,model_seed,city_seed,city_split,condition,condition_group,episode,eval_seed,image_noise_sigma,range_noise_sigma,latency_ms,success,collision,timeout,reward,steps,init_distance,final_distance,best_distance,min_obstacle_distance,avg_speed,path_length,path_efficiency,successful_path_stretch
HW_GA_SAC,3,42,city42_train_replay,moderate_noise,noise_curve,0,1252000,0.03,0.03,0.0,1,0,0,215.53606554100548,1156,992.2738037109375,9.977767944335938,9.977767944335938,5.511680603027344,10.873270457178664,1255.3369583306335,0.7904441888100535,1.2651114577809914
HW_GA_SAC,3,42,city42_train_replay,moderate_noise,noise_curve,1,1252001,0.03,0.03,0.0,1,0,0,213.50772030403533,732,985.5535888671875,9.98928165435791,9.98928165435791,12.348223686218262,14.512833686474243,1061.0890635698356,0.9288132567792913,1.0766426864615957
HW_GA_SAC,3,42,city42_train_replay,moderate_noise,noise_curve,2,1252002,0.03,0.03,0.0,1,0,0,189.56994490976112,971,884.5232543945312,9.952383041381836,9.952383041381836,1.7569618225097656,11.846355611951417,1148.893998794424,0.7698910911909135,1.2988850130128669
HW_GA_SAC,3,42,city42_train_replay,moderate_noise,noise_curve,3,1252003,0.03,0.03,0.0,1,0,0,217.14595608480744,1010,912.1723022460938,9.780194282531738,9.780194282531738,3.644214630126953,10.804183014784709,1089.4569658246053,0.8372724493579923,1.1943543595239337
HW_GA_SAC,3,42,city42_train_replay,moderate_noise,noise_curve,4,1252004,0.03,0.03,0.0,1,0,0,205.80155970660462,796,896.2105102539062,9.972150802612305,9.972150802612305,3.2071173191070557,12.777885147524838,1016.3160503987573,0.8818226474946185,1.1340148757135462
HW_GA_SAC,3,42,city42_train_replay,moderate_noise,noise_curve,5,1252005,0.03,0.03,0.0,1,0,0,78.89701048207918,890,889.9469604492188,9.924295425415039,9.924295425415039,0.46301111578941345,12.243489750516549,1088.7783440331305,0.817381210166813,1.22341936364786
HW_GA_SAC,3,42,city42_train_replay,moderate_noise,noise_curve,6,1252006,0.03,0.03,0.0,1,0,0,214.36488344752428,747,888.3834228515625,9.958796501159668,9.958796501159668,7.072717666625977,13.110658984825793,978.4284045481438,0.907969779620037,1.1013582417010348
HW_GA_SAC,3,42,city42_train_replay,moderate_noise,noise_curve,7,1252007,0.03,0.03,0.0,1,0,0,198.70880697791708,727,854.60888671875,9.972731590270996,9.972731590270996,1.6234321594238281,13.1205628398688,953.1312429667358,0.8966329590232263,1.1152835616140853
HW_GA_SAC,3,42,city42_train_replay,moderate_noise,noise_curve,8,1252008,0.03,0.03,0.0,1,0,0,167.6141118667531,846,982.3828735351562,9.871821403503418,9.871821403503418,0.033660888671875,13.328166123752617,1125.6606211645403,0.872716745228986,1.1458471554107938
HW_GA_SAC,3,42,city42_train_replay,moderate_noise,noise_curve,9,1252009,0.03,0.03,0.0,1,0,0,220.04551037026874,743,868.52294921875,9.999300003051758,9.999300003051758,11.392130851745605,12.956671609531982,961.9912762920361,0.9028386957587009,1.1076175674544493
