method,model_seed,condition,condition_group,episode,eval_seed,image_noise_sigma,range_noise_sigma,latency_ms,success,collision,timeout,reward,steps,init_distance,final_distance,best_distance,min_obstacle_distance,avg_speed,path_length,path_efficiency,successful_path_stretch
sac,2,latency_30ms,latency_curve,0,622000,0.0,0.0,30.0,1,0,0,219.34448174632072,791,966.9483032226562,9.881131172180176,9.881131172180176,22.3095760345459,13.438070525110295,1062.6201975730762,0.9099660494229965,1.098942098591583
sac,2,latency_30ms,latency_curve,1,622001,0.0,0.0,30.0,1,0,0,222.544933041227,797,902.021728515625,9.90914535522461,9.90914535522461,10.334208488464355,13.125882189875115,1046.2418144275591,0.8621541560247783,1.1598853789800208
sac,2,latency_30ms,latency_curve,2,622002,0.0,0.0,30.0,1,0,0,220.55962338515957,819,987.1622314453125,9.926288604736328,9.926288604736328,24.192455291748047,13.341465173332391,1092.9786306009028,0.903185299151353,1.1071925118130417
sac,2,latency_30ms,latency_curve,3,622003,0.0,0.0,30.0,1,0,0,219.53983251034253,776,916.1939086914062,9.939251899719238,9.939251899719238,17.075185775756836,13.028222014839502,1011.3522581128614,0.9059097869628369,1.1038626741770956
sac,2,latency_30ms,latency_curve,4,622004,0.0,0.0,30.0,1,0,0,222.56837066625636,801,939.122802734375,9.983298301696777,9.983298301696777,15.12977409362793,13.627193105875627,1091.6695337203632,0.8602629034941413,1.1624353391716495
sac,2,latency_30ms,latency_curve,5,622005,0.0,0.0,30.0,1,0,0,219.3626200669575,789,993.1757202148438,9.949929237365723,9.949929237365723,36.59736633300781,13.513300089404005,1066.0636727369495,0.9316288938586779,1.0733887780767926
sac,2,latency_30ms,latency_curve,6,622006,0.0,0.0,30.0,1,0,0,219.2628345125845,708,880.147705078125,9.976619720458984,9.976619720458984,29.36566162109375,13.667609155009695,967.5763509733414,0.9096416052260198,1.0993340610795048
sac,2,latency_30ms,latency_curve,7,622007,0.0,0.0,30.0,1,0,0,220.45663418524225,851,993.8678588867188,9.949834823608398,9.949834823608398,26.62284278869629,12.965922978663977,1103.1839329050115,0.9009085694980791,1.109990551601843
sac,2,latency_30ms,latency_curve,8,622008,0.0,0.0,30.0,1,0,0,219.03183315598824,735,895.55712890625,9.94192886352539,9.94192886352539,46.029327392578125,13.501530922918903,992.5630906358956,0.9022672083570046,1.10831912180535
sac,2,latency_30ms,latency_curve,9,622009,0.0,0.0,30.0,1,0,0,220.3920072936757,820,976.6701049804688,9.988971710205078,9.988971710205078,23.909984588623047,13.32953980158015,1092.979972631486,0.8935846304932865,1.1190881824455383
sac,2,latency_30ms,latency_curve,10,622010,0.0,0.0,30.0,1,0,0,219.88112564018425,781,943.4453735351562,9.942586898803711,9.942586898803711,42.73903274536133,13.372161365196433,1044.6264461714723,0.9031413832120162,1.1072463498943064
sac,2,latency_30ms,latency_curve,11,622011,0.0,0.0,30.0,1,0,0,218.36318421176117,782,901.2645874023438,9.88696002960205,9.88696002960205,4.979522705078125,13.303607920399102,1039.9764739658824,0.86662016878654,1.1539080626293539
sac,2,latency_30ms,latency_curve,12,622012,0.0,0.0,30.0,1,0,0,221.09632586480487,795,954.2322998046875,9.957317352294922,9.957317352294922,27.088382720947266,13.464143746379037,1070.5827075941963,0.891320486531143,1.1219309048890123
sac,2,latency_30ms,latency_curve,13,622013,0.0,0.0,30.0,1,0,0,217.8703645084241,697,853.5851440429688,9.952421188354492,9.952421188354492,21.652114868164062,13.636502516492026,950.156731572314,0.8983624655591934,1.1131364436263946
sac,2,latency_30ms,latency_curve,14,622014,0.0,0.0,30.0,1,0,0,223.27886439775358,773,885.2396240234375,9.953989028930664,9.953989028930664,12.265758514404297,13.350813208005714,1032.0999799851318,0.8577072388240818,1.16589898596519
sac,2,latency_30ms,latency_curve,15,622015,0.0,0.0,30.0,1,0,0,219.09508524401096,726,865.669921875,9.917061805725098,9.917061805725098,17.027509689331055,13.274363046014276,963.4300057455476,0.898529126882553,1.1129299764265852
sac,2,latency_30ms,latency_curve,16,622016,0.0,0.0,30.0,1,0,0,218.52189655815857,773,956.0162963867188,9.959454536437988,9.959454536437988,46.1460075378418,13.66554037025644,1056.2454443447755,0.905108089701412,1.1048404178222428
sac,2,latency_30ms,latency_curve,17,622017,0.0,0.0,30.0,1,0,0,219.50024820396249,776,958.60693359375,9.93610954284668,9.93610954284668,22.57238006591797,13.36123020501481,1036.6840475938245,0.9246857186803502,1.0814485179106403
sac,2,latency_30ms,latency_curve,18,622018,0.0,0.0,30.0,1,0,0,217.89470263656722,710,858.4149169921875,9.921963691711426,9.921963691711426,19.277576446533203,13.421681201290077,953.2562060718942,0.9005080811689425,1.1104842043193082
sac,2,latency_30ms,latency_curve,19,622019,0.0,0.0,30.0,1,0,0,219.7073910680458,714,882.5296020507812,9.946976661682129,9.946976661682129,32.46527862548828,13.656282965375595,975.0970406156987,0.9050684857924826,1.1048887633341857
