method,seed,device,actor_params,critic_params,total_params_actor_critic,checkpoint_size_mb,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_std_ms,peak_cuda_memory_mb,warmup,iterations
SAC,1,cuda,292680,405314,697994,9.669214248657227,1.8924531880998985,1.8544719219207764,2.0436532497406006,0.0999969699427578,21.80029296875,1000,10000
HW_GA_SAC,1,cuda,1383368,1496002,2879370,38.91332817077637,1.8797920654295013,1.8725769519805908,1.924004316329956,0.05105689309184645,50.802734375,1000,10000
HW_GA_SAC,2,cuda,1383368,1496002,2879370,38.91332817077637,1.8774273788090796,1.8734979629516602,1.913982629776001,0.02738859394453111,50.802734375,1000,10000
HW_GA_SAC,3,cuda,1383368,1496002,2879370,38.91332817077637,1.8882272325223313,1.8734533786773682,1.9552823305130005,0.06192809802863653,50.802734375,1000,10000
