method,model_seed,city_seed,episode,eval_seed,success,collision,timeout,reward,steps,init_distance,final_distance,best_distance,min_obstacle_distance,avg_speed,path_length,path_efficiency,successful_path_stretch,city_split
td3,4,2,0,1312000,1,0,0,247.13216588707814,1664,983.4966430664062,9.98547077178955,9.98547077178955,5.330085754394531,9.783445526630832,1626.7168979682756,0.604589922373565,1.654013676036959,city1_4_unseen
td3,4,2,1,1312001,0,0,1,11.712876920960326,2200,943.80078125,27.66858673095703,15.427027702331543,5.797277450561523,7.585598049814051,1666.1836259256515,0.5664446382526833,nan,city1_4_unseen
td3,4,2,2,1312002,0,0,1,-45.23770925486621,2200,923.03076171875,26.541107177734375,15.428756713867188,1.4394454956054688,7.845473515093326,1723.8260569561915,0.5354546985724137,nan,city1_4_unseen
td3,4,2,3,1312003,0,0,1,-114.12622144054592,2200,935.7022705078125,111.0247573852539,111.0247573852539,0.47411346435546875,6.83327577017925,1498.5837426313387,0.6243910459517118,nan,city1_4_unseen
td3,4,2,4,1312004,0,0,1,-14.232828141786229,2200,942.9204711914062,184.55406188964844,180.24737548828125,3.298025131225586,6.988199913494967,1532.1424482755694,0.6154261127956254,nan,city1_4_unseen
td3,4,2,5,1312005,0,0,1,-7.380479045890922,2200,958.491943359375,24.554452896118164,17.20419692993164,2.378023147583008,7.851690396273678,1725.1948707603306,0.555584739790553,nan,city1_4_unseen
td3,4,2,6,1312006,0,0,1,12.231611453125765,2200,925.1934814453125,26.677745819091797,10.995271682739258,6.832204818725586,7.5999705678224565,1669.332986499382,0.5542294371031737,nan,city1_4_unseen
td3,4,2,7,1312007,0,0,1,12.334834532558844,2200,958.591064453125,21.36714744567871,13.582019805908203,5.437335968017578,8.273981894566255,1818.4012032788578,0.5271614771947123,nan,city1_4_unseen
td3,4,2,8,1312008,0,0,1,5.046696922205172,2200,930.4930419921875,27.77254295349121,18.98853874206543,2.6679611206054688,7.622008837813681,1674.6154824686744,0.5556457895758129,nan,city1_4_unseen
td3,4,2,9,1312009,0,0,1,2.9828560263974992,2200,860.0568237304688,26.965011596679688,13.521293640136719,2.5882225036621094,7.736942932957953,1699.841195424238,0.50596304292756,nan,city1_4_unseen
