method,model_seed,city_seed,episodes,success_rate,collision_rate,timeout_rate,reward_mean,steps_mean,final_distance_mean,best_distance_mean,min_obstacle_distance_mean,avg_speed_mean,path_length_mean,path_efficiency_mean,successful_path_stretch_mean
GRU_SAC,4,1,200,0.915,0.0,0.085,204.60040680818847,1017.155,11.755730123519898,10.496755805015564,9.348091064691543,13.618001266326019,1307.773191194168,0.7105696296978999,1.3927871121766602
GRU_SAC,4,2,200,0.955,0.0,0.045,215.7459907942444,957.965,10.933656439781188,10.306849298477173,11.679787597060203,13.851612503340514,1279.7136077826588,0.7227747338723038,1.378434329200571
GRU_SAC,4,3,200,0.94,0.01,0.05,199.93714440504954,1012.295,26.60076344013214,26.144284391403197,9.458555042203516,13.373844708470891,1280.279037745571,0.7518255967427643,1.397726800626012
GRU_SAC,4,4,200,0.96,0.0,0.04,215.6060916380069,948.46,10.682447066307068,10.168526487350464,10.475286284983158,13.96398353441332,1284.0315459453284,0.7238519694532277,1.378529066956198
GRU_SAC,4,42,200,0.915,0.0,0.085,207.0306036866709,1008.54,11.616207284927368,10.467603640556336,12.87955414056778,13.626064083178747,1295.3792196565264,0.7223231222776728,1.3713524834892985
GRU_SAC,5,1,200,0.985,0.005,0.01,196.1056696248951,1054.81,14.238578100204467,14.170543432235718,5.991918415427208,11.035757428282057,1114.5397062498096,0.8384497635530923,1.2050501416254233
GRU_SAC,5,2,200,1.0,0.0,0.0,202.12533953616582,1054.86,9.964933080673218,9.964933080673218,5.739766142368317,10.825214883629991,1094.954180713775,0.8485754171983408,1.1828404030822648
GRU_SAC,5,3,200,0.985,0.005,0.01,197.74086497086978,1038.845,15.135827074050903,15.133593187332153,5.411599322557449,11.190599824064888,1114.105422997518,0.8362301374663251,1.21412007812986
GRU_SAC,5,4,200,0.995,0.0,0.005,201.24469211257912,1054.015,10.024348258972168,9.971977849006652,7.482216768170474,10.953291161404056,1110.1117162264625,0.8395753647368777,1.1930946157855358
GRU_SAC,5,42,200,0.985,0.015,0.0,196.06863744300333,1049.945,10.919441161155701,10.919441161155701,6.717240539900959,10.88134506660487,1098.8623285027422,0.8431014575142819,1.1917192571464779
