method,model_seeds,success_rate_mean,success_rate_std,collision_rate_mean,collision_rate_std,timeout_rate_mean,timeout_rate_std,reward_mean_mean,reward_mean_std,steps_mean_mean,steps_mean_std,final_distance_mean_mean,final_distance_mean_std,best_distance_mean_mean,best_distance_mean_std,min_obstacle_distance_mean_mean,min_obstacle_distance_mean_std,avg_speed_mean_mean,avg_speed_mean_std,path_length_mean_mean,path_length_mean_std,path_efficiency_mean_mean,path_efficiency_mean_std,successful_path_stretch_mean_mean,successful_path_stretch_mean_std
GRU_SAC,2,0.9635,0.037476659402886976,0.0035,0.0021213203435596424,0.033,0.03959797974644666,203.62054410196737,7.019453774910606,1019.689,43.56626300246546,13.187193202972413,1.5988641292111396,12.774450833320618,1.0498458097010992,8.51840153179306,3.1817730418775705,12.331971445971524,1.9158772185738204,1197.974995701456,129.34443169944132,0.7837277192512787,0.0812588853215164,1.2905284464536178,0.13182759696185234
HW_GA_SAC,2,0.938,0.04384062043356591,0.012,0.015556349186104044,0.05,0.05939696961966999,200.50867803187322,11.484502548071077,953.46,214.50791314075116,20.264754079818726,10.571544847210001,19.789489815235136,10.973313357868335,18.37166328643262,5.816149599136154,13.465919385431853,1.6220435473183479,1233.5966087248903,95.53776945278773,0.820340723059219,0.12437997461579928,1.3094649071806632,0.04269328077695961
LSTM_SAC,2,0.8594999999999999,0.17748380207782344,0.11449999999999999,0.14071424945612296,0.026,0.03676955262170047,156.89499052019508,64.13969643437098,839.682,183.9128169323715,31.155210659503936,16.548366624665466,17.130960711479187,3.2425508114120047,8.55764816603437,3.000625449135048,13.72372269787994,0.3915210316153725,1089.5564199239,135.79007077559032,0.9032893877297059,0.08455763033411395,1.0824962033755634,0.001680216648638863
PPO,2,0.0,0.0,0.5835,0.589019948728394,0.4165,0.589019948728394,-169.82276786786184,50.10186752699672,1063.691,1350.5810231341175,854.5697128868103,92.87556019352658,828.0796021232604,112.19237719385269,5.609766758579805,7.920884643662685,8.129993964183523,1.77447105445538,732.1005812083239,922.0689282819625,7.012370043410915,8.823383831431581,nan,0.0
SAC_Large,2,0.982,0.005656854249492385,0.003,0.001414213562373095,0.015,0.004242640687119284,220.79521521767435,12.752667768158187,945.1685,163.69168431077975,12.061311851501465,0.727276502831468,11.967429018497468,0.6634498866206605,14.81480719872564,9.931330647616903,14.601132228252764,0.9750341386191137,1366.4532184824138,350.25212023040166,0.7061939868342684,0.17664172581353163,1.4706239098119456,0.3767543255754955
sac,2,0.9595,0.020506096654409896,0.013499999999999998,0.006363961030678928,0.027,0.014142135623730947,209.19646096655532,4.511262356311586,855.0840000000001,0.5897270555095426,20.239972560405732,5.487623495607404,19.65426318025589,6.019991529305373,23.430739934882848,3.8496584147072754,14.443106085890378,0.03694115059775093,1204.3507154054623,3.8833966068955466,0.7957052570032235,0.015829665298652047,1.295237800953891,0.019096455193541032
td3,2,0.592,0.4963889603929563,0.0005,0.0007071067811865475,0.40750000000000003,0.4956818536117698,130.94988066887134,114.97039921209993,1532.47,782.5932585053364,28.49843959569931,4.274541773650146,24.65680761575699,0.24622781855646472,11.975426618039608,11.700435573352138,11.000843385000364,4.144961428636786,1479.4289187396628,264.4161090964909,0.6453785395300009,0.1207163635033654,1.5345432695662358,0.19103704859283027
