method,method_label,model_seed,city_seed,wind_level,episode_seed,episode_index,success,collision,timeout,return,final_distance,path_length,straight_line_distance,path_efficiency,min_clearance,average_speed,steps
HW_GA_SAC,HW_GA_SAC,1,46,default,0,0,1.0,0.0,0.0,243.50939621420912,9.865497589111328,1584.346634978253,934.53515625,0.5898552347181446,9.81025505065918,14.40305922358389,1101.0
HW_GA_SAC,HW_GA_SAC,1,46,default,1,1,1.0,0.0,0.0,248.17677319809428,9.927016258239746,1635.343949996125,933.720947265625,0.5709630364106814,19.78179931640625,15.34732539278034,1066.0
HW_GA_SAC,HW_GA_SAC,1,46,default,2,2,1.0,0.0,0.0,243.24877867445278,9.983299255371094,1444.1382142168618,874.15234375,0.6053107210545231,18.42340087890625,15.296424389011646,945.0
HW_GA_SAC,HW_GA_SAC,1,46,default,3,3,1.0,0.0,0.0,241.90458950028238,9.966057777404785,1458.0874007838402,930.5349731445312,0.6381887482494487,19.822601318359375,14.844259260750981,983.0
HW_GA_SAC,HW_GA_SAC,1,46,default,4,4,1.0,0.0,0.0,242.8359354990743,9.949586868286133,1450.5546394164403,924.613525390625,0.6374206805216232,11.57548999786377,14.531316084069413,999.0
HW_GA_SAC,HW_GA_SAC,1,46,default,5,5,1.0,0.0,0.0,246.79876891668022,9.866525650024414,1508.972576718078,857.922119140625,0.568547190570257,12.41931438446045,14.91788685156894,1012.0
HW_GA_SAC,HW_GA_SAC,1,46,default,6,6,1.0,0.0,0.0,244.97736126951165,9.995304107666016,1650.6826323749585,975.701416015625,0.5910896479305726,15.568097114562988,14.83992467987998,1113.0
HW_GA_SAC,HW_GA_SAC,1,46,default,7,7,1.0,0.0,0.0,241.1067926424897,9.985246658325195,1496.8413735130403,971.4354248046875,0.6489902283531612,15.326757431030273,14.628416434396058,1024.0
HW_GA_SAC,HW_GA_SAC,1,46,default,8,8,1.0,0.0,0.0,245.1159260968123,9.989221572875977,1505.465293566474,890.9869995117188,0.5918349651229453,18.108888626098633,15.036240791429778,1002.0
HW_GA_SAC,HW_GA_SAC,1,46,default,9,9,1.0,0.0,0.0,243.78282608512302,9.861471176147461,1409.1667750475,854.3290405273438,0.6062653872168864,12.078105926513672,14.855915406795397,949.0
HW_GA_SAC,HW_GA_SAC,1,46,default,10,10,1.0,0.0,0.0,242.96679785073118,9.969283103942871,1468.6880289745043,903.5235595703125,0.6151909335035488,11.702311515808105,14.886051200866216,987.0
HW_GA_SAC,HW_GA_SAC,1,46,default,11,11,0.0,0.0,1.0,-89.09545490311078,946.2430419921875,480.51823137910395,992.8046875,1.0,6.3226776123046875,2.2287183362651954,2200.0
HW_GA_SAC,HW_GA_SAC,1,46,default,12,12,1.0,0.0,0.0,250.28219204517478,9.9561767578125,1693.7029532136337,934.214599609375,0.5515811363715197,11.669794082641602,15.489244912398581,1094.0
HW_GA_SAC,HW_GA_SAC,1,46,default,13,13,1.0,0.0,0.0,243.29794285676945,9.950797080993652,1622.136690921921,987.4907836914062,0.6087592921224033,8.644923210144043,14.480959682300833,1121.0
HW_GA_SAC,HW_GA_SAC,1,46,default,14,14,1.0,0.0,0.0,236.7792871320449,9.880038261413574,1360.6387730528986,860.3132934570312,0.6322863279331113,7.9242329597473145,14.786521113268327,921.0
HW_GA_SAC,HW_GA_SAC,1,46,default,15,15,1.0,0.0,0.0,246.5209047201925,9.84369945526123,1519.0795245435822,852.9861450195312,0.5615151354737776,10.197057723999023,15.258887573178992,996.0
HW_GA_SAC,HW_GA_SAC,1,46,default,16,16,1.0,0.0,0.0,228.44222494197956,9.982990264892578,1544.3264985049077,857.2015380859375,0.5550649677486016,3.1393754482269287,14.072918045770493,1098.0
HW_GA_SAC,HW_GA_SAC,1,46,default,17,17,1.0,0.0,0.0,246.67323848005043,9.998659133911133,1633.0628800825612,962.72900390625,0.5895235362018505,21.466583251953125,14.718863707512348,1110.0
HW_GA_SAC,HW_GA_SAC,1,46,default,18,18,1.0,0.0,0.0,248.45476700075193,9.944581985473633,1655.2992001140003,924.3443603515625,0.5584152763971028,8.236562728881836,15.066618750646398,1099.0
HW_GA_SAC,HW_GA_SAC,1,46,default,19,19,1.0,0.0,0.0,243.53540771196737,9.95882797241211,1525.2061914066608,918.4957885742188,0.6022108969588645,15.837626457214355,15.463971034492523,987.0
HW_GA_SAC,HW_GA_SAC,1,46,default,20,20,1.0,0.0,0.0,240.65313829840474,9.921114921569824,1486.2440268038522,956.6106567382812,0.6436430623007849,18.986526489257812,14.808300487548706,1004.0
HW_GA_SAC,HW_GA_SAC,1,46,default,21,21,1.0,0.0,0.0,232.13717581438908,9.933486938476562,1476.8445815498303,994.192626953125,0.6731870363161704,6.966344833374023,14.656892132014036,1008.0
HW_GA_SAC,HW_GA_SAC,1,46,default,22,22,1.0,0.0,0.0,244.75484430248645,9.874114036560059,1529.197257545834,884.632568359375,0.5784947389842283,11.170182228088379,15.055587180369482,1016.0
HW_GA_SAC,HW_GA_SAC,1,46,default,23,23,1.0,0.0,0.0,242.3550984062223,9.89351749420166,1489.3501627120295,959.8709106445312,0.6444897477277312,18.841705322265625,14.54953636683058,1024.0
HW_GA_SAC,HW_GA_SAC,1,46,default,24,24,1.0,0.0,0.0,242.98612251952073,9.888813972473145,1700.3257594021902,963.606201171875,0.5667185807445891,6.41377592086792,14.52863243489465,1171.0
HW_GA_SAC,HW_GA_SAC,1,46,default,25,25,1.0,0.0,0.0,245.81466083117704,9.86319637298584,1501.5183712821824,869.572021484375,0.579128459641707,12.351974487304688,14.699263960181383,1022.0
HW_GA_SAC,HW_GA_SAC,1,46,default,26,26,1.0,0.0,0.0,245.34088348527638,9.952746391296387,1562.011266098157,936.1234130859375,0.599306441255278,13.268960952758789,14.699747795668394,1063.0
HW_GA_SAC,HW_GA_SAC,1,46,default,27,27,1.0,0.0,0.0,243.19086300730632,9.992753982543945,1475.7230236845287,896.5706787109375,0.6075467173185481,14.046232223510742,14.736333190740464,1002.0
HW_GA_SAC,HW_GA_SAC,1,46,default,28,28,1.0,0.0,0.0,242.54710763787233,9.900824546813965,1701.49521248578,974.4322509765625,0.5726917383170164,6.314080715179443,15.162084614338879,1123.0
HW_GA_SAC,HW_GA_SAC,1,46,default,29,29,1.0,0.0,0.0,246.1470501507391,9.893394470214844,1460.1361434205535,853.8196411132812,0.5847534457390396,19.831649780273438,15.239337227516055,959.0
HW_GA_SAC,HW_GA_SAC,1,46,default,30,30,1.0,0.0,0.0,241.02970917923193,9.847014427185059,1432.4917800788144,912.7813110351562,0.6371982888341152,12.751958847045898,14.748625813810914,972.0
HW_GA_SAC,HW_GA_SAC,1,46,default,31,31,1.0,0.0,0.0,236.1798987981221,9.852168083190918,1520.8956647008567,997.7539672851562,0.6560305157299553,8.99809455871582,13.897192148095396,1095.0
HW_GA_SAC,HW_GA_SAC,1,46,default,32,32,1.0,0.0,0.0,240.99380336268024,9.913951873779297,1484.1910629420138,976.1419677734375,0.6576929292637673,17.18891716003418,14.52676802115431,1022.0
HW_GA_SAC,HW_GA_SAC,1,46,default,33,33,1.0,0.0,0.0,249.17804750264057,9.914519309997559,1526.060029870005,858.0536499023438,0.5622672982106973,19.33782958984375,15.148065778116385,1008.0
HW_GA_SAC,HW_GA_SAC,1,46,default,34,34,1.0,0.0,0.0,244.80557348770273,9.883108139038086,1530.2022099102078,931.1689453125,0.6085267288740492,13.209739685058594,14.537120109100288,1053.0
HW_GA_SAC,HW_GA_SAC,1,46,default,35,35,1.0,0.0,0.0,242.64396793964178,9.93413257598877,1610.3420534471898,973.35986328125,0.604442926394191,20.228912353515625,14.916405156144389,1080.0
HW_GA_SAC,HW_GA_SAC,1,46,default,36,36,1.0,0.0,0.0,248.19300613104326,9.96079158782959,1542.1669043274499,889.2577514648438,0.5766287351709545,10.679726600646973,15.109707399516802,1021.0
HW_GA_SAC,HW_GA_SAC,1,46,default,37,37,1.0,0.0,0.0,249.31031511658944,9.893074989318848,1558.3950092651135,879.4722900390625,0.564344909224133,19.175155639648438,15.063753759169924,1035.0
HW_GA_SAC,HW_GA_SAC,1,46,default,38,38,1.0,0.0,0.0,237.33633407387998,9.873940467834473,1415.7051876384783,861.9273681640625,0.6088325279091714,8.262697219848633,14.349706188040543,987.0
HW_GA_SAC,HW_GA_SAC,1,46,default,39,39,1.0,0.0,0.0,236.72122078561495,9.994089126586914,1486.211475694097,991.6890258789062,0.6672597016624187,10.39660930633545,14.770323461903834,1007.0
HW_GA_SAC,HW_GA_SAC,1,46,default,40,40,1.0,0.0,0.0,237.39680831839138,9.8788480758667,1368.1278758567,867.55078125,0.6341152728188901,7.849315166473389,14.941543502058003,916.0
