method,method_label,model_seed,city_seed,wind_level,episode_seed,episode_index,success,collision,timeout,return,final_distance,path_length,straight_line_distance,path_efficiency,min_clearance,average_speed,steps
sac,SAC,3,48,default,0,0,1.0,0.0,0.0,219.20005553706955,9.928776741027832,1109.4861849295767,934.53515625,0.8423134681116543,30.48036003112793,14.383327067979259,772.0
sac,SAC,3,48,default,1,1,1.0,0.0,0.0,220.56553526337964,9.893531799316406,1102.4246390327728,935.4208984375,0.8485123293853485,35.3924446105957,14.122620434751889,781.0
sac,SAC,3,48,default,2,2,1.0,0.0,0.0,218.1536227289347,9.950337409973145,1038.3907481156882,874.15234375,0.8418337175444573,40.686553955078125,14.576089470617232,713.0
sac,SAC,3,48,default,3,3,1.0,0.0,0.0,217.9912344757057,9.88856315612793,1137.751440377904,962.46826171875,0.8459389525352448,37.012115478515625,14.615264319179913,779.0
sac,SAC,3,48,default,4,4,1.0,0.0,0.0,219.47343499044604,9.863591194152832,1135.7861367928808,982.02783203125,0.8646238937236915,40.231170654296875,14.437109652589509,787.0
sac,SAC,3,48,default,5,5,1.0,0.0,0.0,219.62573724011594,9.959978103637695,1034.2858869724719,857.922119140625,0.8294825733839478,34.5011100769043,14.15717599329968,731.0
sac,SAC,3,48,default,6,6,1.0,0.0,0.0,219.23841623310972,9.934345245361328,1143.194932889554,954.5559692382812,0.8349896782918147,35.98930358886719,14.068818107448967,813.0
sac,SAC,3,48,default,7,7,1.0,0.0,0.0,217.4185180319309,9.861693382263184,1135.5373318910658,971.4354248046875,0.8554852381532085,39.040313720703125,14.777000126355025,769.0
sac,SAC,3,48,default,8,8,1.0,0.0,0.0,218.20355746765824,9.883439064025879,1068.683325013822,890.9869995117188,0.833724058995863,36.75465393066406,14.529585946837198,736.0
sac,SAC,3,48,default,9,9,1.0,0.0,0.0,219.182536242061,9.928112983703613,1017.2088665697341,854.3290405273438,0.8398757311350822,41.161590576171875,14.280132852128979,713.0
sac,SAC,3,48,default,10,10,1.0,0.0,0.0,218.49049993468296,9.974416732788086,1091.7196753622743,916.830810546875,0.8398042384301955,35.13082504272461,14.377857977308725,760.0
sac,SAC,3,48,default,11,11,1.0,0.0,0.0,219.37861656338185,9.867232322692871,1176.0218250693806,992.8046875,0.8442060056508122,40.558837890625,14.33329600161089,821.0
sac,SAC,3,48,default,12,12,1.0,0.0,0.0,220.71575332207462,9.886167526245117,1191.378911066811,985.5079345703125,0.8271994118880676,27.766469955444336,14.110027249748185,845.0
sac,SAC,3,48,default,13,13,1.0,0.0,0.0,217.88844698072728,9.88148307800293,1160.1725173132759,987.4907836914062,0.8511585725011264,36.45884704589844,14.846209496031028,782.0
sac,SAC,3,48,default,14,14,1.0,0.0,0.0,218.7551401610939,9.884471893310547,1090.4981707649329,923.1139526367188,0.8465066493318352,41.44270324707031,14.415097116794108,757.0
sac,SAC,3,48,default,15,15,1.0,0.0,0.0,219.25156051553188,9.994194030761719,1027.7487381081492,852.9861450195312,0.8299559156741794,30.516178131103516,14.36013053157809,716.0
sac,SAC,3,48,default,16,16,1.0,0.0,0.0,221.31203052059794,9.892677307128906,1069.9841435051812,857.2015380859375,0.8011348049306738,10.185369491577148,14.273919277985891,750.0
sac,SAC,3,48,default,17,17,1.0,0.0,0.0,218.42031674813649,9.977493286132812,1137.2323358916938,962.72900390625,0.8465543702214401,35.947784423828125,14.719961314275379,773.0
sac,SAC,3,48,default,18,18,1.0,0.0,0.0,218.7144610269866,9.919194221496582,1097.0100090962187,924.3443603515625,0.8426033971313458,36.30851745605469,14.43996972175021,760.0
sac,SAC,3,48,default,19,19,1.0,0.0,0.0,218.12051533951347,9.929244041442871,1151.2535257429515,959.4412841796875,0.8333883568873506,41.34102249145508,14.633117750154517,787.0
sac,SAC,3,48,default,20,20,1.0,0.0,0.0,217.77727160321922,9.92832088470459,1133.103228674685,956.6106567382812,0.8442396354806656,38.31158447265625,14.722382980817324,770.0
sac,SAC,3,48,default,21,21,1.0,0.0,0.0,217.8816280551899,9.908483505249023,1182.9411046775308,994.192626953125,0.8404413567352885,41.73228454589844,14.757808287467743,802.0
sac,SAC,3,48,default,22,22,1.0,0.0,0.0,218.72820377731577,9.986255645751953,1026.923672665912,858.3555297851562,0.8358513418595661,41.15318298339844,14.394385269209117,714.0
sac,SAC,3,48,default,23,23,1.0,0.0,0.0,218.00145520131642,9.880758285522461,1115.8112727896453,959.8709106445312,0.8602448586531602,39.85978698730469,14.636496729182072,763.0
sac,SAC,3,48,default,24,24,1.0,0.0,0.0,219.82799194202988,9.996596336364746,1092.1158133597746,914.4694213867188,0.8373374052459269,34.68780517578125,14.010923851376925,780.0
sac,SAC,3,48,default,25,25,1.0,0.0,0.0,218.43914889453788,9.904559135437012,1046.444318708287,869.572021484375,0.8309778226497133,38.32720947265625,14.45906005783305,724.0
sac,SAC,3,48,default,26,26,1.0,0.0,0.0,219.2643210300965,9.870115280151367,1101.501858775827,936.1234130859375,0.8498609472400839,37.27775573730469,14.298114424704268,771.0
sac,SAC,3,48,default,27,27,1.0,0.0,0.0,219.33959396555517,9.988716125488281,1069.2836076024578,896.5706787109375,0.8384779045862526,39.970947265625,14.232781036023765,752.0
sac,SAC,3,48,default,28,28,1.0,0.0,0.0,220.7209346941483,9.979514122009277,1152.1278594394682,932.8986206054688,0.8097179605216225,10.363544464111328,14.33817019539686,804.0
