method,method_label,model_seed,city_seed,wind_level,episode_seed,episode_index,success,collision,timeout,return,final_distance,path_length,straight_line_distance,path_efficiency,min_clearance,average_speed,steps
sac,SAC,3,52,default,0,0,1.0,0.0,0.0,219.68350140787194,9.9873628616333,1112.1316885570598,934.53515625,0.8403097995189013,21.31702995300293,14.302409850233317,778.0
sac,SAC,3,52,default,1,1,0.0,0.0,1.0,-206.02247952855714,736.5223999023438,1187.6284613864007,935.4208984375,0.7876376567681096,0.009415931068360806,5.421054321717132,2200.0
sac,SAC,3,52,default,2,2,1.0,0.0,0.0,220.14663546166085,9.968583106994629,1093.3716142717594,893.7583618164062,0.8174332954598372,9.29219913482666,13.742669271015043,796.0
sac,SAC,3,52,default,3,3,1.0,0.0,0.0,218.683882702288,9.921355247497559,1102.8911187055958,930.5349731445312,0.8437233352977312,10.198108673095703,13.731789559644847,804.0
sac,SAC,3,52,default,4,4,1.0,0.0,0.0,219.390890345038,9.864974021911621,1138.276418640969,982.02783203125,0.8627322994213742,26.60498809814453,14.494554159295468,786.0
sac,SAC,3,52,default,5,5,1.0,0.0,0.0,221.24366668760155,9.941068649291992,1071.9303361188404,887.455078125,0.8279036876017768,12.88516902923584,13.475539622819005,796.0
sac,SAC,3,52,default,6,6,1.0,0.0,0.0,220.14197753246063,9.98568058013916,1136.7578014259125,954.5559692382812,0.8397179839372265,10.812080383300781,13.828410089088385,823.0
sac,SAC,3,52,default,7,7,1.0,0.0,0.0,218.72940874195,9.869400024414062,1153.8818535715775,971.4354248046875,0.8418846537865478,11.607307434082031,14.581858538994283,792.0
sac,SAC,3,52,default,8,8,1.0,0.0,0.0,218.797711242898,9.995755195617676,1129.4078348375347,890.9869995117188,0.7888974841757559,11.043051719665527,14.00298763296418,807.0
sac,SAC,3,52,default,9,9,1.0,0.0,0.0,219.71699366881595,9.89000129699707,1037.7251715537543,854.3290405273438,0.8232710007874078,7.046508312225342,13.996829956528954,742.0
sac,SAC,3,52,default,10,10,1.0,0.0,0.0,219.32271240682368,9.94077205657959,1073.1430825879177,903.5235595703125,0.8419413722459428,22.602088928222656,14.280717786639295,752.0
sac,SAC,3,52,default,11,11,1.0,0.0,0.0,220.65406594958057,9.978304862976074,1192.2622861429916,992.8046875,0.8327066108177894,20.77860450744629,14.183915660015609,841.0
sac,SAC,3,52,default,12,12,1.0,0.0,0.0,218.58525337883682,9.91280746459961,1100.9697465495403,934.214599609375,0.8485379389735467,10.83076286315918,14.366736494422426,767.0
sac,SAC,3,52,default,13,13,1.0,0.0,0.0,217.86907202675096,9.864169120788574,1156.8564182021332,987.4907836914062,0.8535983966152536,35.658721923828125,14.818548633560786,781.0
sac,SAC,3,52,default,14,14,1.0,0.0,0.0,219.06268675291818,9.887616157531738,1052.2209906024693,860.3132934570312,0.8176165474178978,10.298517227172852,13.801208075111534,763.0
sac,SAC,3,52,default,15,15,1.0,0.0,0.0,219.62776295591507,9.997312545776367,1102.8854232657404,921.5856323242188,0.8356132131979067,26.12404441833496,14.037399594565384,786.0
sac,SAC,3,52,default,16,16,1.0,0.0,0.0,220.23416036900767,9.984792709350586,1054.3773129276738,857.2015380859375,0.8129931548941989,17.9588623046875,14.409498059684461,732.0
sac,SAC,3,52,default,17,17,0.0,0.0,1.0,-34.497448379030686,125.6431884765625,1432.9927814899938,976.4609375,0.6814137168818797,9.640634536743164,6.552541485083374,2200.0
sac,SAC,3,52,default,18,18,1.0,0.0,0.0,219.37297058481528,9.931775093078613,1093.217585518278,924.3443603515625,0.8455264282209153,10.378710746765137,13.955648677993794,784.0
sac,SAC,3,52,default,19,19,1.0,0.0,0.0,218.46655570555828,9.91496467590332,1086.1719988571465,918.4957885742188,0.8456264657353033,12.637754440307617,14.570067451882299,746.0
sac,SAC,3,52,default,20,20,1.0,0.0,0.0,216.43828119039728,9.880838394165039,1148.0012202695805,956.6106567382812,0.833283658456081,7.918443202972412,14.55892000769481,789.0
