method,method_label,model_seed,city_seed,wind_level,episode_seed,episode_index,success,collision,timeout,return,final_distance,path_length,straight_line_distance,path_efficiency,min_clearance,average_speed,steps
HW_GA_SAC,HW_GA_SAC,2,51,default,0,0,1.0,0.0,0.0,233.61519864967562,9.977127075195312,1346.9221938720111,934.53515625,0.6938300968695765,7.159645080566406,13.769069274915982,979.0
HW_GA_SAC,HW_GA_SAC,2,51,default,1,1,1.0,0.0,0.0,222.9426654068282,9.790411949157715,1276.0135937164453,935.4208984375,0.7330806686103131,2.1836776733398438,13.64401018110096,936.0
HW_GA_SAC,HW_GA_SAC,2,51,default,2,2,1.0,0.0,0.0,241.3075706614123,9.974017143249512,1325.8146798412708,893.7583618164062,0.6741201281037322,9.784549713134766,14.151792094143214,938.0
HW_GA_SAC,HW_GA_SAC,2,51,default,3,3,1.0,0.0,0.0,187.8209540717352,9.797212600708008,1430.2453940513017,962.46826171875,0.6729392492518155,1.1304702758789062,14.323266544618884,999.0
HW_GA_SAC,HW_GA_SAC,2,51,default,4,4,1.0,0.0,0.0,229.0796899048728,9.942350387573242,1399.3793411043393,982.02783203125,0.7017595609609824,3.6826019287109375,14.00907215040922,1000.0
HW_GA_SAC,HW_GA_SAC,2,51,default,5,5,1.0,0.0,0.0,236.1542863832658,9.907577514648438,1251.4653496266862,857.922119140625,0.685534057652131,5.904045104980469,13.74984603505234,911.0
HW_GA_SAC,HW_GA_SAC,2,51,default,6,6,1.0,0.0,0.0,234.4097110751257,9.966802597045898,1359.314531258664,978.9934692382812,0.7202111407812123,11.625884056091309,13.974905744715148,974.0
HW_GA_SAC,HW_GA_SAC,2,51,default,7,7,1.0,0.0,0.0,209.2622492821943,9.832979202270508,1373.267603656006,971.4354248046875,0.7073897485227688,2.3722572326660156,14.052478997863387,978.0
HW_GA_SAC,HW_GA_SAC,2,51,default,8,8,1.0,0.0,0.0,234.11459536339603,9.955528259277344,1315.1919164765325,867.2828979492188,0.6594344803096986,5.672351837158203,13.969358900676614,942.0
HW_GA_SAC,HW_GA_SAC,2,51,default,9,9,1.0,0.0,0.0,229.4057877140212,9.847371101379395,1242.922691676122,854.3290405273438,0.687354930639534,5.477577209472656,13.588974735492181,916.0
HW_GA_SAC,HW_GA_SAC,2,51,default,10,10,1.0,0.0,0.0,228.50151756180856,9.989398956298828,1211.911319665985,916.830810546875,0.7565164180491051,6.040252685546875,13.856513445172991,875.0
HW_GA_SAC,HW_GA_SAC,2,51,default,11,11,1.0,0.0,0.0,236.37235632482438,9.812386512756348,1333.6718594795482,929.7369384765625,0.6971257073980573,7.520359039306641,14.066910086240858,949.0
HW_GA_SAC,HW_GA_SAC,2,51,default,12,12,1.0,0.0,0.0,220.46662770216585,9.828853607177734,1318.117800619271,985.5079345703125,0.7476630192743823,3.71197509765625,13.758988500635866,959.0
