variant,seed,episode,eval_seed,reward,steps,success,collision,timeout,init_distance,final_distance,best_distance,min_obstacle_distance,avg_speed
wo_handcrafted_safety,3,4,55004,223.99316559520946,819,True,False,False,901.3994750976562,9.951247215270996,9.951247215270996,16.116851806640625,14.095029662234733
wo_handcrafted_safety,3,5,55005,-110.83681153961277,914,False,True,False,926.9354858398438,47.5426139831543,10.232501983642578,0.0,13.803589019264122
wo_handcrafted_safety,3,6,55006,222.01342968184255,873,True,False,False,987.5577392578125,9.967896461486816,9.967896461486816,14.107833862304688,14.148190735541668
wo_handcrafted_safety,3,7,55007,-108.47939755052795,881,False,True,False,881.2755737304688,48.23992156982422,10.474736213684082,0.0,13.626661641643754
wo_handcrafted_safety,3,8,55008,217.21837899641332,733,True,False,False,858.1129150390625,9.997998237609863,9.997998237609863,20.98577880859375,14.113469741516841
wo_handcrafted_safety,3,9,55009,-107.09207353233472,819,False,True,False,880.2997436523438,36.21269607543945,10.433427810668945,0.0,13.613140792273194
wo_handcrafted_safety,3,10,55010,222.13127331578073,810,True,False,False,890.9910278320312,9.930747032165527,9.930747032165527,23.032394409179688,13.812258503245719
wo_handcrafted_safety,3,11,55011,222.5566416538972,883,True,False,False,991.2841186523438,9.976044654846191,9.976044654846191,16.53559112548828,14.364064245302302
wo_handcrafted_safety,3,12,55012,219.35122596329603,839,True,False,False,978.5847778320312,9.9436616897583,9.9436616897583,25.60594940185547,14.192657215518519
wo_handcrafted_safety,3,13,55013,-404.1861568911028,331,False,True,False,983.139404296875,534.8237915039062,534.8237915039062,0.0,14.5220797112341
wo_handcrafted_safety,3,14,55014,221.47098213645714,866,True,False,False,982.7490844726562,9.933741569519043,9.933741569519043,15.258712768554688,14.149903325092986
wo_handcrafted_safety,3,15,55015,221.8524451355575,894,True,False,False,998.0481567382812,9.970422744750977,9.970422744750977,8.169398307800293,14.079209243824552
wo_handcrafted_safety,3,16,55016,220.839708352402,866,True,False,False,976.490966796875,9.992219924926758,9.992219924926758,15.395950317382812,14.098484353573163
wo_handcrafted_safety,3,17,55017,-114.54657183088007,888,False,True,False,929.6831665039062,48.258514404296875,12.475833892822266,0.0,13.899866377112565
wo_handcrafted_safety,3,18,55018,220.43689052506966,827,True,False,False,944.008544921875,9.908935546875,9.908935546875,23.116348266601562,13.965249937275445
wo_handcrafted_safety,3,19,55019,224.9584494682406,796,True,False,False,855.9368896484375,9.986138343811035,9.986138343811035,18.587844848632812,14.101785791953604
