method,method_label,model_seed,wind_level,city_seed,success_rate,collision_rate,timeout_rate,average_return,final_distance,path_length,straight_line_distance,path_efficiency,minimum_clearance,average_speed,episode_steps,episodes
HW_GA_SAC,HW_GA_SAC,1,default,43,0.96,0.0,0.04,234.2477856594674,10.258247165679931,1556.7162461876317,924.9161865234375,0.5965643809817207,17.655655727386474,14.723861401757281,1075.66,100
HW_GA_SAC,HW_GA_SAC,1,default,44,0.98,0.0,0.02,238.95738766376894,10.096210222244263,1551.783727640659,925.0100183105469,0.5978504092383059,17.156518316268922,14.874669134212375,1052.51,100
HW_GA_SAC,HW_GA_SAC,1,default,45,0.97,0.0,0.03,235.88997417657268,10.193479251861572,1561.2355403811182,927.9463464355468,0.5965636984198631,17.41093515396118,14.766412231635838,1070.71,100
HW_GA_SAC,HW_GA_SAC,1,default,46,0.98,0.0,0.02,237.63766160572712,19.37686984062195,1518.3817437996006,918.8055920410156,0.6059035389310431,14.674224140644073,14.655949559823805,1051.05,100
HW_GA_SAC,HW_GA_SAC,1,default,47,0.96,0.0,0.04,233.96692331575574,10.274180946350098,1555.6079976258043,925.2463067626953,0.5974021919590468,18.20946098327637,14.772538893073627,1071.1,100
HW_GA_SAC,HW_GA_SAC,1,default,48,0.94,0.0,0.06,227.81789774751866,27.153953666687013,1543.2926184491394,920.9089416503906,0.6001253346048613,18.067613143920898,14.495184903366416,1100.98,100
HW_GA_SAC,HW_GA_SAC,1,default,49,0.97,0.0,0.03,236.14384090315522,10.172646360397339,1549.297536385783,921.2407067871094,0.5970684952581365,17.30568336248398,14.811910810590193,1059.54,100
HW_GA_SAC,HW_GA_SAC,1,default,50,0.97,0.01,0.02,231.70765546642673,17.9179590511322,1535.9823606723212,927.9627069091797,0.6047833874552285,16.00421707955189,14.746752747464024,1050.51,100
HW_GA_SAC,HW_GA_SAC,1,default,51,0.97,0.0,0.03,236.48299892798045,10.185253553390503,1546.298449919504,922.3160729980468,0.5987669805361765,17.492789964675904,14.783673152520903,1059.8,100
HW_GA_SAC,HW_GA_SAC,1,default,52,0.95,0.0,0.05,230.10337803107987,17.351319818496705,1532.2577343028988,924.6867346191407,0.6063986802358828,13.51879738330841,14.458847917242668,1088.74,100
HW_GA_SAC,HW_GA_SAC,2,default,43,0.99,0.0,0.01,213.87336793652378,10.494121274948121,1354.5754811972756,924.9161865234375,0.6840584853625394,3.920874629020691,13.911477021140088,981.06,100
HW_GA_SAC,HW_GA_SAC,2,default,44,1.0,0.0,0.0,217.2844040544635,9.878777008056641,1307.19794964595,925.0100183105469,0.7092735443928178,4.424268336296081,13.772621453425847,950.23,100
HW_GA_SAC,HW_GA_SAC,2,default,45,0.99,0.01,0.0,217.50311366461185,10.604953966140748,1319.264588309502,927.9463464355468,0.7046633226142431,5.042694584429264,13.90563020396376,950.1,100
HW_GA_SAC,HW_GA_SAC,2,default,46,1.0,0.0,0.0,218.14068079333185,9.893392047882081,1313.6104922519635,918.8055920410156,0.7002589353777994,5.160655376911163,13.886954686578756,946.69,100
HW_GA_SAC,HW_GA_SAC,2,default,47,1.0,0.0,0.0,224.04141660431543,9.897722005844116,1299.1356900786056,925.2463067626953,0.7134710832221206,6.05741409778595,13.938012922630563,933.34,100
HW_GA_SAC,HW_GA_SAC,2,default,48,1.0,0.0,0.0,226.38161783351757,9.89488130569458,1344.4286902184735,920.9089416503906,0.6859148961686763,6.309685561507941,14.07535522099359,956.28,100
HW_GA_SAC,HW_GA_SAC,2,default,49,1.0,0.0,0.0,222.23466289513894,9.8879266166687,1307.5713020139262,921.2407067871094,0.705008114011145,5.114502248764038,13.8802476144875,943.32,100
HW_GA_SAC,HW_GA_SAC,2,default,50,1.0,0.0,0.0,221.99240184771332,9.89614273071289,1328.0733899341963,927.9627069091797,0.699758701338061,5.793374643325806,13.844367459460543,960.52,100
HW_GA_SAC,HW_GA_SAC,2,default,51,1.0,0.0,0.0,219.65170649632506,9.886429424285888,1307.862060881106,922.3160729980468,0.7059279476912752,4.93201753616333,13.913795749867372,940.97,100
HW_GA_SAC,HW_GA_SAC,2,default,52,0.99,0.01,0.0,212.67578775762814,17.031812772750854,1268.7115462867623,924.6867346191407,0.7269878617769602,5.240307638645172,13.76903695811734,921.44,100
HW_GA_SAC,HW_GA_SAC,3,default,43,0.98,0.02,0.0,197.4476947241161,13.784868717193604,1078.5077267667752,924.9161865234375,0.8598646179910315,6.966157763600349,13.107953593558655,829.61,100
HW_GA_SAC,HW_GA_SAC,3,default,44,0.96,0.04,0.0,185.81483576802316,23.770563144683837,1098.5057840956906,925.0100183105469,0.8416696938722648,5.710047803595662,12.76710186000217,873.48,100
HW_GA_SAC,HW_GA_SAC,3,default,45,0.96,0.04,0.0,170.71196339756702,19.637771692276,1109.888836317407,927.9463464355468,0.8393401041625913,4.434432121594437,12.665984437597471,892.98,100
HW_GA_SAC,HW_GA_SAC,3,default,46,0.95,0.05,0.0,186.01459745870724,31.157382736206056,1054.066462624362,918.8055920410156,0.8621167623337885,6.702075223177672,12.77353399686926,836.53,100
HW_GA_SAC,HW_GA_SAC,3,default,47,0.98,0.02,0.0,186.1754591056711,19.465349197387695,1039.991613091615,925.2463067626953,0.8875726701347808,5.651467025582678,13.24338353831978,793.03,100
HW_GA_SAC,HW_GA_SAC,3,default,48,0.96,0.04,0.0,179.3557842031487,19.797789001464842,1051.338713872396,920.9089416503906,0.877936308687961,5.972324044387787,13.117866880326442,806.9,100
HW_GA_SAC,HW_GA_SAC,3,default,49,0.97,0.03,0.0,184.9839843278106,23.82919306755066,1070.0572893659114,921.2407067871094,0.8596694309254809,5.779499379247427,13.028009900745854,832.38,100
HW_GA_SAC,HW_GA_SAC,3,default,50,0.97,0.03,0.0,181.72892613185118,17.74657374382019,1076.9361306184892,927.9627069091797,0.8618254330486841,4.3505625114403665,12.876028029383916,844.33,100
HW_GA_SAC,HW_GA_SAC,3,default,51,0.97,0.03,0.0,187.37311229086478,19.69527651786804,1048.1896017790766,922.3160729980468,0.8767847903495581,5.656535789808259,13.158807811081042,802.26,100
HW_GA_SAC,HW_GA_SAC,3,default,52,0.97,0.03,0.0,185.80168664889322,28.556414489746093,1054.5159666358354,924.6867346191407,0.8678348673625923,5.416258942423737,12.913189063807295,817.02,100
sac,SAC,1,default,43,0.6,0.01,0.39,103.09664170200276,19.98162907600403,1305.0012866189434,924.9161865234375,0.7524245837381796,7.429025106355548,10.742120870366568,1376.93,100
sac,SAC,1,default,44,0.69,0.06,0.25,106.3817499600078,49.4101503944397,1199.8634135081616,925.0100183105469,0.7904800074514511,3.794571556597948,10.915279826649837,1229.77,100
sac,SAC,1,default,45,0.83,0.03,0.14,147.30116840839324,21.73630380630493,1162.3059004703673,927.9463464355468,0.8232201899270888,4.423718570023775,11.673785661789152,1086.63,100
sac,SAC,1,default,46,0.72,0.02,0.26,116.97156597985763,28.368861627578735,1219.2113663153953,918.8055920410156,0.7854935942015315,4.556525110329967,11.158444296611288,1222.68,100
sac,SAC,1,default,47,0.74,0.09,0.17,118.14978788771793,49.68229493141175,1156.6114055467042,925.2463067626953,0.821318097521721,4.932217228915542,11.50879862541904,1125.07,100
sac,SAC,1,default,48,0.77,0.02,0.21,142.26842802331757,16.516523160934447,1211.6288143012816,920.9089416503906,0.8043880282552499,5.010176864750683,11.637205073640025,1170.01,100
sac,SAC,1,default,49,0.76,0.04,0.2,129.39617563645493,28.072713108062743,1185.0795375334521,921.2407067871094,0.806986746055876,4.771125766299665,11.429391688449156,1151.81,100
sac,SAC,1,default,50,0.8,0.02,0.18,136.61313121144133,23.18008490562439,1227.8881612747027,927.9627069091797,0.79190356883009,4.173248035684082,11.399688339511762,1187.69,100
sac,SAC,1,default,51,0.78,0.04,0.18,136.49391938605314,32.80498460769653,1126.3583533155484,922.3160729980468,0.8383073473751711,4.977004320286214,11.972637811564095,1041.53,100
sac,SAC,1,default,52,0.71,0.05,0.24,120.13531418997596,20.331472845077514,1257.4227890901082,924.6867346191407,0.7737917242045933,4.979195161480456,11.157411589010287,1242.74,100
sac,SAC,2,default,43,0.99,0.0,0.01,216.87917070155947,10.334649906158447,1034.4924700608506,924.9161865234375,0.8977200942609833,20.912348670959474,13.523566039070612,770.96,100
sac,SAC,2,default,44,0.99,0.0,0.01,216.17703910005238,10.368769693374634,1045.393812697104,925.0100183105469,0.8886936459245706,15.572006460428238,13.367116278422657,789.47,100
sac,SAC,2,default,45,0.96,0.01,0.03,207.1277776905619,16.773455057144165,1044.240862887669,927.9463464355468,0.8921470951458969,17.222558779716493,13.259435801083043,811.73,100
sac,SAC,2,default,46,0.98,0.0,0.02,213.0509758585651,12.325108652114869,1028.566834881863,918.8055920410156,0.8959944847461676,14.166488571166992,13.341862831624194,787.13,100
sac,SAC,2,default,47,0.97,0.0,0.03,208.68241995886925,21.7442174243927,1035.065056626057,925.2463067626953,0.8922951434411983,17.246913981437682,12.9558383332679,846.31,100
sac,SAC,2,default,48,0.97,0.01,0.02,209.24678693437133,19.269593200683595,1030.2794542458867,920.9089416503906,0.8932594447752196,22.360761564970016,13.494935745521843,774.43,100
sac,SAC,2,default,49,0.98,0.0,0.02,213.7346652581192,10.743981647491456,1044.1442433752925,921.2407067871094,0.8893344656193459,14.328894755840302,13.35866809935777,792.41,100
sac,SAC,2,default,50,0.99,0.0,0.01,214.9406310706961,10.31748649597168,1042.9804960530912,927.9627069091797,0.8939035780276499,16.07608107805252,13.381703152802128,786.07,100
