method,method_label,model_seed,wind_level,city_seed,success_rate,collision_rate,timeout_rate,average_return,final_distance,path_length,straight_line_distance,path_efficiency,minimum_clearance,average_speed,episode_steps,episodes
HW_GA_SAC,HW_GA_SAC,1,no_wind,43,0.99,0.0,0.01,241.43651914561357,10.039762592315673,1544.180307190053,924.9161865234375,0.6000828832659005,17.705537548065184,14.910255013367035,1041.44,100
HW_GA_SAC,HW_GA_SAC,1,no_wind,44,1.0,0.0,0.0,243.7713494011451,9.925408554077148,1541.9620723276291,925.0100183105469,0.6006265916295138,17.417851166725157,15.020673080683578,1027.47,100
HW_GA_SAC,HW_GA_SAC,1,no_wind,45,0.99,0.0,0.01,240.89535362651574,10.021232872009277,1551.081852105954,927.9463464355468,0.5995578751697486,17.556203923225404,14.852079068506384,1054.13,100
HW_GA_SAC,HW_GA_SAC,1,no_wind,46,0.98,0.0,0.02,237.24791648456142,19.38226189613342,1518.4630436375353,918.8055920410156,0.6059536016290038,14.606296486258508,14.675759168061631,1049.84,100
HW_GA_SAC,HW_GA_SAC,1,no_wind,47,1.0,0.0,0.0,243.57430078307763,9.933949785232544,1536.3584420226057,925.2463067626953,0.6030993394818611,18.309607706069947,15.008462797959304,1024.59,100
HW_GA_SAC,HW_GA_SAC,1,no_wind,48,0.97,0.0,0.03,234.76185389385452,29.48389232635498,1524.3242173900514,920.9089416503906,0.6060373204957782,17.991304774284362,14.697881404800372,1062.22,100
HW_GA_SAC,HW_GA_SAC,1,no_wind,49,1.0,0.0,0.0,242.9274271062169,9.917481479644776,1535.1227857281274,921.2407067871094,0.6011882483894628,17.277580032348634,15.024617280887304,1022.5,100
HW_GA_SAC,HW_GA_SAC,1,no_wind,50,0.98,0.01,0.01,233.3442828711209,23.435073022842406,1519.9396256667385,927.9627069091797,0.6111945138012234,16.00841380964819,14.787625975500564,1036.51,100
HW_GA_SAC,HW_GA_SAC,1,no_wind,51,1.0,0.0,0.0,243.61672233019578,9.927989139556885,1532.1044162071453,922.3160729980468,0.602931664083465,17.566609935760496,14.978940488122348,1023.83,100
HW_GA_SAC,HW_GA_SAC,1,no_wind,52,0.98,0.0,0.02,236.6093335435342,25.212678565979004,1499.9715020796473,924.6867346191407,0.6159894130082371,13.64601683139801,14.574924342851025,1051.32,100
HW_GA_SAC,HW_GA_SAC,1,strong,43,0.82,0.0,0.18,201.09598169776075,11.310817308425904,1610.1178302228782,924.9161865234375,0.5801413109397668,17.569570302963257,13.600802817317566,1260.28,100
HW_GA_SAC,HW_GA_SAC,1,strong,44,0.83,0.0,0.17,203.31644549136442,11.247891540527343,1606.5208455060006,925.0100183105469,0.5824614808036989,17.2175190448761,13.774995962273362,1235.0,100
HW_GA_SAC,HW_GA_SAC,1,strong,45,0.83,0.01,0.16,201.70592625182712,11.234498472213746,1612.4185344719049,927.9463464355468,0.5819106817092002,16.825606718063355,13.725220499491478,1240.76,100
HW_GA_SAC,HW_GA_SAC,1,strong,46,0.88,0.0,0.12,214.0838037176053,10.833740587234496,1575.4382020705452,918.8055920410156,0.5885748956559715,14.463522825241089,13.906565581894018,1183.95,100
HW_GA_SAC,HW_GA_SAC,1,strong,47,0.87,0.0,0.13,212.95026712481177,10.907714309692382,1587.657978991452,925.2463067626953,0.5875609122438726,18.02861339569092,13.960167098518255,1193.45,100
HW_GA_SAC,HW_GA_SAC,1,strong,48,0.85,0.0,0.15,206.44808532083474,30.448792181015016,1569.9637989486257,920.9089416503906,0.592991473214974,17.654682288169862,13.72411779677661,1216.72,100
HW_GA_SAC,HW_GA_SAC,1,strong,49,0.85,0.0,0.15,207.33908932963993,11.14278161048889,1594.6525394898138,921.2407067871094,0.5843382214109696,17.517852364408316,13.86706130335406,1211.15,100
HW_GA_SAC,HW_GA_SAC,1,strong,50,0.87,0.01,0.12,208.7856525767672,19.81239375114441,1567.308264588319,927.9627069091797,0.5952356683572994,15.959606711864472,13.899151698189534,1180.3,100
HW_GA_SAC,HW_GA_SAC,1,strong,51,0.85,0.0,0.15,207.92026779068019,11.01005672454834,1595.8437252027134,922.3160729980468,0.5844155486499314,17.632391852140426,13.826901805944253,1216.68,100
