method,method_label,model_seed,wind_level,success_rate,collision_rate,timeout_rate,average_return,final_distance,path_length,straight_line_distance,path_efficiency,minimum_clearance,average_speed,episode_steps,cities
HW_GA_SAC,HW_GA_SAC,1,no_wind,0.9890000000000001,0.001,0.01,239.8185059185836,15.72797302341461,1530.3508264355485,923.903961303711,0.6046661450954194,16.80854222137839,14.853121862073953,1039.385,10
HW_GA_SAC,HW_GA_SAC,1,strong,0.849,0.002,0.149,206.87562717819338,13.905067554473877,1590.514819265194,923.903961303711,0.5867093062460903,16.623032411299878,13.795900340126087,1216.376,10
HW_GA_SAC,HW_GA_SAC,2,no_wind,0.998,0.001,0.001,219.2909125225105,10.175335722923279,1316.6731594274945,923.903961303711,0.703141266051977,5.1765913399308925,13.945731763561222,945.76,10
HW_GA_SAC,HW_GA_SAC,2,strong,0.9869999999999999,0.003,0.01,217.18275650577954,11.33512972164154,1317.3983852670133,923.903961303711,0.7038894726817452,5.048405220441055,13.55926038348682,977.8430000000001,10
HW_GA_SAC,HW_GA_SAC,3,no_wind,0.9640000000000001,0.03500000000000001,0.001,184.97224446484682,21.939524781227114,1066.5712965569887,923.903961303711,0.8651623069768372,5.635093814447057,13.066459320955962,824.982,10
HW_GA_SAC,HW_GA_SAC,3,strong,0.9630000000000001,0.037,0.0,185.87090976535745,22.657454273223877,1068.5539395574428,923.903961303711,0.862409338721568,5.660937293615367,12.636176448368996,860.2710000000001,10
sac,SAC,1,no_wind,0.712,0.057999999999999996,0.22999999999999998,116.88337620712988,33.61836185836792,1203.021860065557,923.903961303711,0.79981421279316,4.857002520497772,11.39663716713562,1181.548,10
sac,SAC,1,strong,0.7350000000000001,0.047,0.21799999999999997,122.59590271795639,32.19758461761474,1189.8808113867904,923.903961303711,0.805880345274417,4.6828167777566705,11.269145254975006,1169.6009999999999,10
sac,SAC,2,no_wind,0.9810000000000001,0.003,0.016,212.3785311450446,14.422585237503048,1037.894123790175,923.903961303711,0.8926130780642966,16.915175957169385,13.371470961372054,790.347,10
sac,SAC,2,strong,0.9790000000000001,0.004,0.017,212.88953585837285,14.080754494667053,1037.060449135064,923.903961303711,0.8935375464553175,16.807386305763384,13.169988646816611,802.92,10
sac,SAC,3,no_wind,0.9729999999999999,0.003,0.024,210.65857375556098,17.70819797039032,1106.6899306869145,923.903961303711,0.833991005642386,24.820190001845358,14.095241480623633,806.1390000000001,10
sac,SAC,3,strong,0.976,0.005,0.019,212.3818822714129,18.746938998222355,1100.2279037066023,923.903961303711,0.8368865233208782,24.753052246704698,13.856554067657523,812.079,10
td3,TD3,1,no_wind,0.795,0.002,0.203,142.49919517630224,12.02490006828308,1202.4773849478936,923.903961303711,0.7913362868195364,4.213771170329302,11.957762926774734,1188.3490000000002,10
td3,TD3,1,strong,0.8240000000000001,0.011,0.16499999999999998,148.61952813186912,15.839356576919556,1167.7825768672567,923.903961303711,0.8084875293659198,4.1525642665121705,11.890189850214043,1148.3250000000003,10
td3,TD3,2,no_wind,0.874,0.008,0.118,188.5501999427361,14.438054869651793,1393.3200054836914,923.903961303711,0.6839827442233783,4.766013997197151,11.4897486342857,1249.7129999999997,10
td3,TD3,2,strong,0.93,0.009999999999999998,0.06000000000000001,202.68558758649482,16.438364295959474,1336.9724368763734,923.903961303711,0.7010740759204601,4.643582425672561,11.434222866456338,1198.5530000000003,10
td3,TD3,3,no_wind,0.8470000000000001,0.15299999999999997,0.0,144.09175204371383,35.024353288650516,1290.3285163805945,923.903961303711,0.7392518584728976,3.939813575593056,13.384569990863422,999.0189999999999,10
td3,TD3,3,strong,0.8470000000000001,0.15299999999999997,0.0,143.0055527304042,36.81558214187622,1230.5381459240577,923.903961303711,0.7565395787088846,3.7911330362595614,12.956016754888063,966.2849999999999,10

