method,train_seed,city_seed,episode_seed,success,collision,timeout,done_reason,episode_steps,total_reward,final_distance,mean_speed,min_clearance,path_length,path_efficiency,success_weighted_path_length
sac,1,42,9000,True,False,False,success,818,201.8173031894939,9.976163864135742,12.224064280978041,2.5754623413085938,999.2594258375466,1.1430509679024567,999.2594258375466
sac,1,42,9001,True,False,False,success,677,208.19172025447597,9.967080116271973,14.378462469560182,3.5047245025634766,972.8040823936462,1.068369556653625,972.8040823936462
sac,1,42,9002,True,False,False,success,907,191.72019012658018,9.915867805480957,12.493438866264633,0.25315093994140625,1132.20672493428,1.1734886132731237,1132.20672493428
sac,1,42,9003,False,False,True,timeout,2200,-22.09395384600512,35.07339096069336,7.871405623473905,11.173776626586914,1729.5538137592375,1.9652235025470395,nan
sac,1,42,9004,True,False,False,success,687,198.9899713079201,9.998346328735352,14.675617994179373,2.7681350708007812,1006.048929784447,1.0656721275470296,1006.048929784447
sac,1,42,9005,True,False,False,success,673,207.95522597016515,9.883013725280762,14.653289523379764,7.543706893920898,984.2997061051428,1.030693297471052,984.2997061051428
sac,1,42,9006,True,False,False,success,731,206.7707632490325,9.870471000671387,13.282299832182282,4.176856994628906,969.9951487928629,1.0826375605696514,969.9951487928629
sac,1,42,9007,False,True,False,collision,720,-188.95903771116593,212.4338836669922,11.191562194956674,0.0,805.1488700844347,0.9349614544057724,nan
sac,1,42,9008,True,False,False,success,791,115.47178665387139,9.95481014251709,13.43028439070874,0.2760024964809418,1061.6374305710196,1.1246101052020554,1061.6374305710196
sac,1,42,9009,True,False,False,success,2168,203.46051207120635,9.840150833129883,7.697526277527488,4.626941680908203,1665.6659915298223,1.9503776830718986,1665.6659915298223
sac,1,42,9010,False,False,True,timeout,2200,-30.301230856113847,22.85144805908203,7.774416515014388,16.692127227783203,1707.9839308485389,2.0075770681778273,nan
sac,1,42,9011,True,False,False,success,790,203.82417057571024,9.718833923339844,13.153483831127987,2.6053085327148438,1037.8998317457736,1.1227519620368605,1037.8998317457736
sac,1,42,9012,True,False,False,success,806,72.46091810961914,9.83959674835205,12.325636255090348,0.16951751708984375,991.2386339344084,1.1432713202268645,991.2386339344084
sac,1,42,9013,True,False,False,success,1043,207.0689164834044,9.916101455688477,11.108955093678212,2.7431163787841797,1157.004964016378,1.2903848752116311,1157.004964016378
sac,1,42,9014,True,False,False,success,1307,212.73284535552258,9.994006156921387,9.64116762344766,10.830560684204102,1257.2495532296598,1.403075074771978,1257.2495532296598
sac,1,42,9015,True,False,False,success,623,208.83876556710416,9.856042861938477,14.497364291314328,7.662187576293945,901.1368696466088,1.0186211825862908,901.1368696466088
sac,1,42,9016,False,True,False,collision,555,-156.01930679560283,307.5396728515625,13.475073099995518,0.0,747.4939407855272,0.7665375615444062,nan
sac,1,42,9017,True,False,False,success,637,213.49035460371152,9.780052185058594,14.122050758246537,11.78978157043457,897.9126488827169,1.0514183103818946,897.9126488827169
sac,1,42,9018,True,False,False,success,920,196.85421397633166,9.889652252197266,12.309162646532059,3.8140709400177,1131.619388680905,1.1325774895112657,1131.619388680905
sac,1,42,9019,True,False,False,success,1069,106.25203133616965,9.841338157653809,11.60418772903751,0.05396001413464546,1239.1476702988148,1.2733814550589349,1239.1476702988148
sac,1,42,9020,False,False,True,timeout,2200,-21.567233465917084,15.43174934387207,8.438588620695201,10.832596778869629,1854.917386971414,2.1073283509885856,nan
sac,1,42,9021,True,False,False,success,861,174.4462118705252,9.958819389343262,13.263305499578601,0.03699493408203125,1140.9492042958736,1.1464883721770254,1140.9492042958736
sac,1,42,9022,True,False,False,success,836,206.2557540744009,9.985213279724121,12.863439201043125,5.389532089233398,1074.2011515945196,1.0863558182050423,1074.2011515945196
sac,1,42,9023,True,False,False,success,928,161.02611278663016,9.844988822937012,12.731288272373636,1.6283352375030518,1179.9858251810074,1.187012629865948,1179.9858251810074
sac,1,42,9024,True,False,False,success,874,210.99960915311243,9.977124214172363,12.919413721397758,2.9143295288085938,1128.1950103901327,1.1325719752539711,1128.1950103901327
sac,1,42,9025,True,False,False,success,1122,160.22330369025818,9.934094429016113,11.127463053307643,1.7639236450195312,1247.5927934795618,1.2588471978373266,1247.5927934795618
sac,1,42,9026,True,False,False,success,895,143.24269236528056,9.979507446289062,11.681275385784703,0.2950553894042969,1044.1535228043795,1.1711202085653505,1044.1535228043795
