method,model_seed,condition,condition_group,episode,eval_seed,image_noise_sigma,range_noise_sigma,latency_ms,success,collision,timeout,reward,steps,init_distance,final_distance,best_distance,min_obstacle_distance,avg_speed,path_length,path_efficiency,successful_path_stretch,city_seed,city_split
TD3,1,mild_noise,noise_curve,7,621007,0.01,0.01,0.0,1,0,0,184.87016324567315,694,882.457763671875,9.969009399414062,9.969009399414062,0.2597503662109375,14.549323612743565,1008.4652288432022,0.8750502629467267,1.1427914970649866,,
TD3,1,mild_noise,noise_curve,8,621008,0.01,0.01,0.0,1,0,0,178.09645810759838,2167,932.271240234375,9.996246337890625,9.996246337890625,2.5278663635253906,7.528102664949985,1626.1913267516925,0.5732850894590499,1.7443328256515394,,
TD3,1,mild_noise,noise_curve,9,621009,0.01,0.01,0.0,0,0,1,-41.580419287956765,2200,935.4238891601562,15.351688385009766,11.647919654846191,1.3442344665527344,7.325667087435722,1607.2794922965438,0.5819920515650865,nan,,
TD3,1,mild_noise,noise_curve,10,621010,0.01,0.01,0.0,0,0,1,-49.84050459985861,2200,946.0239868164062,14.551383972167969,13.399084091186523,2.1090660095214844,7.0806208125468,1553.9019565442036,0.6088054544447025,nan,,
TD3,1,mild_noise,noise_curve,11,621011,0.01,0.01,0.0,0,0,1,-35.15030177579456,2200,939.9700317382812,19.724857330322266,16.57929229736328,16.722623825073242,6.515471430698579,1429.2896052781018,0.6576484067799457,nan,,
TD3,1,mild_noise,noise_curve,12,621012,0.01,0.01,0.0,1,0,0,123.08464285599567,675,894.534912109375,9.99758243560791,9.99758243560791,0.2998466491699219,14.314886618013736,965.5997971124181,0.9264033762066237,1.079443389006995,,
TD3,1,mild_noise,noise_curve,13,621013,0.01,0.01,0.0,0,0,1,-30.395191296224006,2200,910.3756713867188,12.721977233886719,12.225469589233398,6.665973663330078,6.976688890457154,1531.0679591158057,0.594601739241191,nan,,
TD3,1,mild_noise,noise_curve,14,621014,0.01,0.01,0.0,0,0,1,-31.902920069626894,2200,933.75927734375,22.05884552001953,15.2879638671875,5.897455215454102,7.176428994685412,1574.9725889477545,0.592873351508675,nan,,
TD3,1,mild_noise,noise_curve,15,621015,0.01,0.01,0.0,1,0,0,193.29209659690645,715,874.0049438476562,9.990875244140625,9.990875244140625,4.436361789703369,14.163147062688441,1011.6186980756645,0.8639667747444943,1.1574519174024205,,
TD3,1,mild_noise,noise_curve,16,621016,0.01,0.01,0.0,0,0,1,-36.3031837645529,2200,885.8856201171875,20.242095947265625,14.333528518676758,6.588901519775391,6.533783848068931,1432.6038439522163,0.6183744542198337,nan,,
TD3,1,mild_noise,noise_curve,17,621017,0.01,0.01,0.0,0,0,1,-32.36466946071584,2200,904.005126953125,15.026311874389648,14.03930377960205,12.774995803833008,6.911324532526461,1516.8220905522194,0.5959862613973468,nan,,
TD3,1,mild_noise,noise_curve,18,621018,0.01,0.01,0.0,0,0,1,-33.151687495918786,2200,926.3319702148438,19.540924072265625,14.856613159179688,16.65365982055664,6.707377127981322,1471.7541926513456,0.629406714001656,nan,,
TD3,1,mild_noise,noise_curve,19,621019,0.01,0.01,0.0,1,0,0,203.4568220203777,1504,943.4722290039062,9.903532981872559,9.903532981872559,1.3167076110839844,8.51475867378882,1277.8691401679278,0.738316780135971,1.3544321718054904,,
TD3,1,moderate_noise,noise_curve,0,621000,0.03,0.03,0.0,1,0,0,205.40213081506442,726,868.2344360351562,9.972221374511719,9.972221374511719,4.471019744873047,14.523658360495713,1053.3315825490251,0.8242745688248136,1.2131879810700965,,
TD3,1,moderate_noise,noise_curve,1,621001,0.03,0.03,0.0,0,0,1,-32.03743201715499,2200,925.5282592773438,18.71495819091797,16.141820907592773,15.397647857666016,6.574650122570721,1442.2786940608432,0.6417124950181784,nan,,
TD3,1,moderate_noise,noise_curve,2,621002,0.03,0.03,0.0,1,0,0,192.93288393434602,779,956.6654052734375,9.925456047058105,9.925456047058105,3.022472381591797,13.608982612982642,1059.1433185087553,0.9032445265484902,1.1071199111731518,,
TD3,1,moderate_noise,noise_curve,3,621003,0.03,0.03,0.0,1,0,0,198.00610791450498,709,876.954833984375,9.840128898620605,9.840128898620605,2.5401840209960938,14.353738797064056,1016.6958437017327,0.8625537710387716,1.1593480123513948,,
TD3,1,moderate_noise,noise_curve,4,621004,0.03,0.03,0.0,1,0,0,205.0032632395043,673,877.9403686523438,9.959892272949219,9.959892272949219,5.980937957763672,14.406861944857537,968.8298746017598,0.9061863095553526,1.1035258306767841,,
TD3,1,moderate_noise,noise_curve,5,621005,0.03,0.03,0.0,1,0,0,205.66850970470878,2089,987.8280639648438,9.976460456848145,9.976460456848145,5.144084930419922,7.4395642505914985,1549.4427844170082,0.6375376192651883,1.5685348907764498,,
TD3,1,moderate_noise,noise_curve,6,621006,0.03,0.03,0.0,0,0,1,-45.99707829161004,2200,982.4016723632812,19.623165130615234,15.450662612915039,3.6753387451171875,7.058361891541969,1548.6635104293707,0.634354503575091,nan,,
TD3,1,moderate_noise,noise_curve,7,621007,0.03,0.03,0.0,1,0,0,191.228252919632,698,882.457763671875,9.967734336853027,9.967734336853027,0.4993743896484375,14.445697802698032,1007.0312417463593,0.8762963124575428,1.141166504735749,,
TD3,1,moderate_noise,noise_curve,8,621008,0.03,0.03,0.0,0,0,1,-44.048658331940686,2200,932.271240234375,13.57415771484375,11.097707748413086,4.820896148681641,7.368969748054038,1616.6525653191927,0.5766676527991695,nan,,
TD3,1,moderate_noise,noise_curve,9,621009,0.03,0.03,0.0,0,0,1,-33.46009210580224,2200,935.4238891601562,13.610536575317383,11.820956230163574,3.3753890991210938,7.716615869809281,1694.1895815035498,0.5521364901382474,nan,,
TD3,1,moderate_noise,noise_curve,10,621010,0.03,0.03,0.0,0,0,1,-96.77886252401397,2200,946.0239868164062,23.03195571899414,14.795209884643555,0.22470484673976898,7.023188203708692,1541.1368662764655,0.6138481321922373,nan,,
TD3,1,moderate_noise,noise_curve,11,621011,0.03,0.03,0.0,0,0,1,-33.94719070151604,2200,939.9700317382812,19.4683780670166,15.360804557800293,16.978515625,6.7300370778820735,1476.3401880639142,0.6366893208881392,nan,,
TD3,1,moderate_noise,noise_curve,12,621012,0.03,0.03,0.0,1,0,0,189.24975873834973,656,894.534912109375,9.911746978759766,9.911746978759766,2.1426429748535156,14.650315690058761,960.3772434050611,0.9314411792367766,1.0736050995935142,,
TD3,1,moderate_noise,noise_curve,13,621013,0.03,0.03,0.0,0,0,1,-29.680974521452868,2200,910.3756713867188,12.535904884338379,12.132440567016602,7.0686187744140625,6.968023547069593,1529.0690950863507,0.5953790278753279,nan,,
TD3,1,moderate_noise,noise_curve,14,621014,0.03,0.03,0.0,0,0,1,-72.45947808934547,2200,933.75927734375,19.851591110229492,15.975640296936035,0.46332550048828125,6.8408774784613735,1500.8989645495446,0.6221333343540505,nan,,
TD3,1,moderate_noise,noise_curve,15,621015,0.03,0.03,0.0,1,0,0,199.41984193052477,690,874.0049438476562,9.934185981750488,9.934185981750488,3.387279510498047,14.4325614562933,994.9221783068717,0.8784656357093288,1.1383484559330959,,
TD3,1,moderate_noise,noise_curve,16,621016,0.03,0.03,0.0,1,0,0,172.5265519737928,1997,885.8856201171875,9.930946350097656,9.930946350097656,0.2570648193359375,7.09498283683015,1412.1703005784734,0.6273220869708833,1.5940774615933686,,
TD3,1,moderate_noise,noise_curve,17,621017,0.03,0.03,0.0,0,0,1,-32.032857992638874,2200,904.005126953125,13.937790870666504,13.58607292175293,13.74051284790039,6.788265877257694,1489.5412596153926,0.6069017028682668,nan,,
TD3,1,moderate_noise,noise_curve,18,621018,0.03,0.03,0.0,0,0,1,-32.61376782042991,2200,926.3319702148438,16.826358795166016,15.791727066040039,16.929828643798828,6.679175455841151,1465.3135828202578,0.6321731956049655,nan,,
TD3,1,moderate_noise,noise_curve,19,621019,0.03,0.03,0.0,1,0,0,194.03335713012132,1241,943.4722290039062,9.910072326660156,9.910072326660156,1.9647750854492188,9.670699576664893,1197.5241509828177,0.7878523604134339,1.2692733438981378,,
TD3,1,latency_10ms,latency_curve,0,621000,0.0,0.0,10.0,1,0,0,207.28973975126348,740,868.2344360351562,9.998992919921875,9.998992919921875,4.504421234130859,13.90461553786252,1028.663837004912,0.844040982876518,1.1847765929469074,,
TD3,1,latency_10ms,latency_curve,1,621001,0.0,0.0,10.0,0,0,1,-31.258350254950486,2200,925.5282592773438,19.020994186401367,13.891913414001465,14.338092803955078,7.9605306593125515,1748.9593793923764,0.5291879675323796,nan,,
TD3,1,latency_10ms,latency_curve,2,621002,0.0,0.0,10.0,1,0,0,198.56132268969404,737,956.6654052734375,9.999159812927246,9.999159812927246,4.964771270751953,14.092474954907898,1038.3806461722822,0.9213051194664822,1.0854167407417525,,
TD3,1,latency_10ms,latency_curve,3,621003,0.0,0.0,10.0,0,1,0,-222.5382578303321,252,876.954833984375,530.5809326171875,530.5809326171875,0.0,14.934871448883934,376.88980191031135,2.3268202788704384,nan,,
TD3,1,latency_10ms,latency_curve,4,621004,0.0,0.0,10.0,1,0,0,201.149958192427,670,877.9403686523438,9.973278999328613,9.973278999328613,6.271625518798828,14.553744390562398,974.9432866981165,0.9005040402152039,1.1104891875454754,,
TD3,1,latency_10ms,latency_curve,5,621005,0.0,0.0,10.0,1,0,0,200.79406368234856,811,987.8280639648438,9.860234260559082,9.860234260559082,4.026237487792969,14.182002367279532,1149.830495188732,0.859107553764003,1.163998611837023,,
TD3,1,latency_10ms,latency_curve,6,621006,0.0,0.0,10.0,0,0,1,-54.69619384010051,2200,982.4016723632812,19.665771484375,14.515859603881836,2.004913330078125,8.175491726940328,1796.2843105931365,0.5469076730057785,nan,,
TD3,1,latency_10ms,latency_curve,7,621007,0.0,0.0,10.0,1,0,0,143.89358163141287,710,882.457763671875,9.987296104431152,9.987296104431152,0.052714355289936066,14.3109870697411,1016.0675053851945,0.8685030856658804,1.151406387040411,,
TD3,1,latency_10ms,latency_curve,8,621008,0.0,0.0,10.0,0,0,1,-44.85728116366975,2200,932.271240234375,26.276504516601562,15.443265914916992,4.589439392089844,7.639927321150899,1678.0357351331695,0.555572936091489,nan,,
TD3,1,latency_10ms,latency_curve,9,621009,0.0,0.0,10.0,0,0,1,-32.79977200941466,2200,935.4238891601562,12.214247703552246,12.008161544799805,2.8960418701171875,8.26771813991395,1816.7239449224362,0.5148959982470499,nan,,
TD3,1,latency_10ms,latency_curve,10,621010,0.0,0.0,10.0,0,0,1,-82.29064516395681,2200,946.0239868164062,13.695439338684082,12.865439414978027,0.27848052978515625,8.025617694394155,1763.1982658816141,0.5365386327347516,nan,,
TD3,1,latency_10ms,latency_curve,11,621011,0.0,0.0,10.0,0,0,1,-34.156033108792975,2200,939.9700317382812,18.11221694946289,15.529801368713379,16.60690689086914,7.630126643898812,1676.1552017074484,0.5607893772490532,nan,,
TD3,1,latency_10ms,latency_curve,12,621012,0.0,0.0,10.0,1,0,0,204.64259520959007,950,894.534912109375,9.982919692993164,9.982919692993164,7.207183837890625,11.418875973130527,1084.2880493798489,0.8249974834832848,1.2121249094940554,,
TD3,1,latency_10ms,latency_curve,13,621013,0.0,0.0,10.0,1,0,0,212.44610956506565,1083,910.3756713867188,9.964534759521484,9.964534759521484,7.351329803466797,11.188943904467678,1211.1118557071284,0.7516858720330009,1.33034294936981,,
TD3,1,latency_10ms,latency_curve,14,621014,0.0,0.0,10.0,1,0,0,195.09129597056514,1901,933.75927734375,9.995203018188477,9.995203018188477,2.424468994140625,8.378572674157555,1590.5047836885528,0.5870836019607946,1.7033349196947591,,
TD3,1,latency_10ms,latency_curve,15,621015,0.0,0.0,10.0,1,0,0,181.43392266801828,741,874.0049438476562,9.7850980758667,9.7850980758667,0.5521469116210938,13.592639226662484,1006.9245877783914,0.8679944401556429,1.1520811122023855,,
TD3,1,latency_10ms,latency_curve,16,621016,0.0,0.0,10.0,0,0,1,-35.573253343328396,2200,885.8856201171875,18.781452178955078,14.247079849243164,6.558673858642578,7.784038150811737,1710.0267235241652,0.5180536701154476,nan,,
TD3,1,latency_10ms,latency_curve,17,621017,0.0,0.0,10.0,0,0,1,-34.78746797303654,2200,904.005126953125,17.449548721313477,13.51584529876709,3.255565643310547,7.8196168972687286,1717.6427704894013,0.5263056687250227,nan,,
TD3,1,latency_10ms,latency_curve,18,621018,0.0,0.0,10.0,0,0,1,-32.29081169706466,2200,926.3319702148438,15.835192680358887,14.588242530822754,16.494600296020508,7.744828726439313,1701.4550213338055,0.5444351796550421,nan,,
TD3,1,latency_10ms,latency_curve,19,621019,0.0,0.0,10.0,0,1,0,-172.40529372414488,404,943.4722290039062,408.1028137207031,408.0138854980469,0.0,14.600382775805965,589.9600806026107,1.5992136756781967,nan,,
TD3,1,latency_30ms,latency_curve,0,621000,0.0,0.0,30.0,1,0,0,207.2898449091236,740,868.2344360351562,9.994763374328613,9.994763374328613,4.504421234130859,13.904613517103968,1028.6637116466902,0.8440410857356697,1.184776448563989,,
TD3,1,latency_30ms,latency_curve,1,621001,0.0,0.0,30.0,0,0,1,-30.838878740886408,2200,925.5282592773438,16.30337142944336,13.809677124023438,14.338092803955078,7.902978879308159,1736.5423922652708,0.5329718775652912,nan,,
TD3,1,latency_30ms,latency_curve,2,621002,0.0,0.0,30.0,1,0,0,198.56624190477586,737,956.6654052734375,9.95324420928955,9.95324420928955,4.964744567871094,14.092508172083095,1038.4330991236532,0.9212585828406081,1.0854715696830748,,
TD3,1,latency_30ms,latency_curve,3,621003,0.0,0.0,30.0,0,1,0,-222.5382578303321,252,876.954833984375,530.5809326171875,530.5809326171875,0.0,14.934871448883934,376.88980191031135,2.3268202788704384,nan,,
TD3,1,latency_30ms,latency_curve,4,621004,0.0,0.0,30.0,1,0,0,201.15000055483392,670,877.9403686523438,9.97323989868164,9.97323989868164,6.271640777587891,14.553744453191758,974.9433293120879,0.9005040008549126,1.110489236084047,,
TD3,1,latency_30ms,latency_curve,5,621005,0.0,0.0,30.0,1,0,0,200.79471571308943,811,987.8280639648438,9.86013412475586,9.86013412475586,4.026241302490234,14.181998589770862,1149.83019784982,0.8591077759238539,1.1639983108343253,,
TD3,1,latency_30ms,latency_curve,6,621006,0.0,0.0,30.0,0,0,1,-54.54865803588316,2200,982.4016723632812,18.191713333129883,14.148567199707031,2.0049095153808594,8.158560247136787,1792.3762830404312,0.5481001292300189,nan,,
TD3,1,latency_30ms,latency_curve,7,621007,0.0,0.0,30.0,1,0,0,143.89379642510812,710,882.457763671875,9.987171173095703,9.987171173095703,0.052714355289936066,14.310989925391237,1016.0676929634377,0.8685029253298279,1.1514065996038345,,
TD3,1,latency_30ms,latency_curve,8,621008,0.0,0.0,30.0,0,0,1,-43.522786516244025,2200,932.271240234375,16.58385467529297,10.579192161560059,4.589435577392578,7.441564871404658,1634.3293746688228,0.5704304497514698,nan,,
TD3,1,latency_30ms,latency_curve,9,621009,0.0,0.0,30.0,0,0,1,-33.13455945629978,2200,935.4238891601562,13.992713928222656,11.706050872802734,2.8960533142089844,8.256526228162375,1814.0651306285927,0.515650664006767,nan,,
TD3,1,latency_30ms,latency_curve,10,621010,0.0,0.0,30.0,0,0,1,-82.39520770279799,2200,946.0239868164062,16.00981330871582,13.46026611328125,0.27849578857421875,7.957188882014968,1748.19958687702,0.5411418661334781,nan,,
TD3,1,latency_30ms,latency_curve,11,621011,0.0,0.0,30.0,0,0,1,-34.173304999206856,2200,939.9700317382812,17.609224319458008,16.740732192993164,16.60690689086914,7.655057660930536,1681.4748810334672,0.5590152088151072,nan,,
TD3,1,latency_30ms,latency_curve,12,621012,0.0,0.0,30.0,1,0,0,204.51219643508068,1094,894.534912109375,9.949921607971191,9.949921607971191,7.207180023193359,10.565090296486941,1154.8215707221575,0.774608766226964,1.2909742874082004,,
TD3,1,latency_30ms,latency_curve,13,621013,0.0,0.0,30.0,0,0,1,-28.95030755756789,2200,910.3756713867188,13.701662063598633,10.689861297607422,7.351322174072266,7.7879037925939665,1710.832581116926,0.5321243477794743,nan,,
TD3,1,latency_30ms,latency_curve,14,621014,0.0,0.0,30.0,1,0,0,195.02067958062486,1913,933.75927734375,9.975549697875977,9.975549697875977,2.424468994140625,8.411919875834789,1607.1770146903086,0.580993424376268,1.7211898758984427,,
TD3,1,latency_30ms,latency_curve,15,621015,0.0,0.0,30.0,1,0,0,181.4338610264518,741,874.0049438476562,9.785087585449219,9.785087585449219,0.5521469116210938,13.59263978136374,1006.9246252514215,0.8679944078529451,1.1520811550774637,,
TD3,1,latency_30ms,latency_curve,16,621016,0.0,0.0,30.0,0,0,1,-35.940161270343516,2200,885.8856201171875,21.498476028442383,13.61883544921875,6.5587310791015625,7.761522523408586,1704.7002035396695,0.5196723847851482,nan,,
TD3,1,latency_30ms,latency_curve,17,621017,0.0,0.0,30.0,0,0,1,-34.73455142351539,2200,904.005126953125,17.602293014526367,13.798245429992676,3.2555809020996094,7.7953401873328465,1712.333881495733,0.5279374173005743,nan,,
TD3,1,latency_30ms,latency_curve,18,621018,0.0,0.0,30.0,0,0,1,-32.274390319827326,2200,926.3319702148438,16.572731018066406,14.327524185180664,16.494600296020508,7.709915252443064,1693.8735952143743,0.5468719583515371,nan,,
TD3,1,latency_30ms,latency_curve,19,621019,0.0,0.0,30.0,0,1,0,-172.39842666034755,404,943.4722290039062,408.10284423828125,408.0140075683594,0.0,14.600373981465207,589.9597827141943,1.5992144831692212,nan,,
TD3,1,latency_50ms,latency_curve,0,621000,0.0,0.0,50.0,1,0,0,207.30621153066556,740,868.2344360351562,9.856437683105469,9.856437683105469,4.504421234130859,13.904615916110373,1028.8886559681705,0.8438565543500518,1.1850355310331289,,
TD3,1,latency_50ms,latency_curve,1,621001,0.0,0.0,50.0,0,0,1,-31.002896568924307,2200,925.5282592773438,17.668745040893555,14.087433815002441,14.338092803955078,7.827542427531021,1719.847229170087,0.538145623390025,nan,,
TD3,1,latency_50ms,latency_curve,2,621002,0.0,0.0,50.0,1,0,0,198.5612737853133,737,956.6654052734375,9.999164581298828,9.999164581298828,4.964740753173828,14.092474823890903,1038.3806608212517,0.9213051064691575,1.0854167560542842,,
TD3,1,latency_50ms,latency_curve,3,621003,0.0,0.0,50.0,0,1,0,-222.5382578303321,252,876.954833984375,530.5809326171875,530.5809326171875,0.0,14.934871448883934,376.88980191031135,2.3268202788704384,nan,,
TD3,1,latency_50ms,latency_curve,4,621004,0.0,0.0,50.0,1,0,0,201.14999061249296,670,877.9403686523438,9.973288536071777,9.973288536071777,6.271636962890625,14.553744122964233,974.9433148647288,0.9005040141991804,1.1104892196280784,,
TD3,1,latency_50ms,latency_curve,5,621005,0.0,0.0,50.0,1,0,0,200.79507191349225,811,987.8280639648438,9.860024452209473,9.860024452209473,4.026237487792969,14.1820010180538,1149.830380354108,0.8591076395638693,1.163998495587416,,
TD3,1,latency_50ms,latency_curve,6,621006,0.0,0.0,50.0,0,0,1,-54.74534596824741,2200,982.4016723632812,18.694740295410156,12.653519630432129,2.004913330078125,8.101231180050156,1779.6534850406802,0.5520185140652957,nan,,
TD3,1,latency_50ms,latency_curve,7,621007,0.0,0.0,50.0,1,0,0,143.8912259636212,710,882.457763671875,9.98693561553955,9.98693561553955,0.05280612036585808,14.311000285518002,1016.0684466632599,0.8685022810912408,1.1514074536955012,,
TD3,1,latency_50ms,latency_curve,8,621008,0.0,0.0,50.0,0,0,1,-43.27233399757114,2200,932.271240234375,16.632965087890625,15.44327449798584,4.589424133300781,7.486439889615232,1644.3026486121432,0.5669705884261933,nan,,
TD3,1,latency_50ms,latency_curve,9,621009,0.0,0.0,50.0,0,0,1,-33.468665040709936,2200,935.4238891601562,20.76604461669922,15.97758960723877,2.896038055419922,7.7963388355889105,1712.5946705026372,0.546202732772498,nan,,
TD3,1,latency_50ms,latency_curve,10,621010,0.0,0.0,50.0,0,0,1,-82.36345341099688,2200,946.0239868164062,14.127229690551758,13.654058456420898,0.2784576416015625,8.026816994676535,1763.4013262187498,0.5364768488889364,nan,,
TD3,1,latency_50ms,latency_curve,11,621011,0.0,0.0,50.0,0,0,1,-34.52086273482398,2200,939.9700317382812,20.547466278076172,15.446880340576172,16.60690689086914,7.751761538508264,1702.9421971663269,0.5519682542968157,nan,,
TD3,1,latency_50ms,latency_curve,12,621012,0.0,0.0,50.0,1,0,0,204.6826667144839,924,894.534912109375,9.977458000183105,9.977458000183105,7.207183837890625,11.658879302829117,1076.757660710642,0.8307671677199834,1.203706692868558,,
TD3,1,latency_50ms,latency_curve,13,621013,0.0,0.0,50.0,0,0,1,-28.987311987658444,2200,910.3756713867188,13.736701011657715,10.880110740661621,7.3513336181640625,7.867960488430478,1728.4583034231223,0.5266980809336081,nan,,
TD3,1,latency_50ms,latency_curve,14,621014,0.0,0.0,50.0,0,0,1,-45.29460208763885,2200,933.75927734375,13.48355770111084,13.48355770111084,2.424468994140625,7.85346232005141,1725.1263947466098,0.5412700658845943,nan,,
TD3,1,latency_50ms,latency_curve,15,621015,0.0,0.0,50.0,1,0,0,181.43386838959657,741,874.0049438476562,9.78505802154541,9.78505802154541,0.5521469116210938,13.592640767856809,1006.9247123118994,0.8679943328046251,1.152081254688431,,
