method,city_split,condition,condition_group,model_seed_splits,success_rate_mean,success_rate_std,collision_rate_mean,collision_rate_std,timeout_rate_mean,timeout_rate_std,reward_mean_mean,reward_mean_std,steps_mean_mean,steps_mean_std,final_distance_mean_mean,final_distance_mean_std,best_distance_mean_mean,best_distance_mean_std,min_obstacle_distance_mean_mean,min_obstacle_distance_mean_std,avg_speed_mean_mean,avg_speed_mean_std,path_length_mean_mean,path_length_mean_std,path_efficiency_mean_mean,path_efficiency_mean_std,successful_path_stretch_mean_mean,successful_path_stretch_mean_std
HW_GA_SAC,city1_4_unseen,clean,clean,5,0.9349999999999999,0.04183300132670376,0.02,0.03259601202601324,0.045,0.051234753829797995,200.40011877087935,16.88243821417015,976.2049999999999,165.08510816394067,25.839515981674197,18.845677005777603,25.17011480808258,18.551396942967273,12.750031672762706,6.410721479369495,13.584116911854704,0.9321590152489139,1289.0701701328294,183.73421159788154,0.7462712556801302,0.1141484715829888,1.375058052841915,0.19319533414520954
HW_GA_SAC,city1_4_unseen,latency_10ms,latency_curve,5,0.96,0.0518411033833193,0.01,0.022360679774997897,0.03,0.054198708471697,208.1119727553568,11.631919857064716,963.2950000000001,149.33963849226362,16.845713081359865,9.660004045279635,16.52863564491272,9.20446090280963,12.744936949764378,6.36398487221207,13.606826353535501,0.8361538200086751,1286.7186752822388,192.85378720387965,0.741801224588795,0.10731868272550163,1.374942602222528,0.1935614717002329
HW_GA_SAC,city1_4_unseen,latency_30ms,latency_curve,5,0.95,0.05303300858899106,0.01,0.022360679774997897,0.04,0.05755432216610669,205.75101163081976,12.686435791361165,972.0449999999998,155.9175417087506,16.97855833053589,9.573428421860497,16.531886405944825,9.204609628635275,12.74125218143221,6.363094709809174,13.588863034374748,0.8603449538844561,1292.3555130826574,192.93883527022194,0.7399932647311849,0.10762541857913298,1.371507525951889,0.19621869660777136
HW_GA_SAC,city1_4_unseen,latency_50ms,latency_curve,5,0.9650000000000001,0.04183300132670377,0.01,0.022360679774997897,0.025,0.04330127018922193,209.9014596394586,12.636863845710593,960.8300000000002,145.02431843487494,12.896101751327516,5.9894601539575145,12.64272707939148,5.885922478495716,12.759999389559962,6.3661318973715915,13.635161397575018,0.8519471116919033,1290.1648146339066,200.23378338272113,0.7402343599461613,0.11042427537153551,1.3766458640171486,0.1975696972423824
HW_GA_SAC,city1_4_unseen,mild_noise,noise_curve,5,0.95,0.04677071733467425,0.005,0.011180339887498949,0.045,0.051234753829797995,207.1900859702273,12.042371128148124,975.32,155.97766907477495,20.15140971183777,17.746073192864422,19.574304327964782,17.44205800751134,12.867938934564592,6.293077222297223,13.611704175571296,0.9409021950416608,1292.8435149997913,176.01320675737122,0.7390622390114456,0.10145410786176232,1.3720360017530209,0.19161966779075787
HW_GA_SAC,city1_4_unseen,mild_noise_latency_30ms,combined,5,0.95,0.06373774391990981,0.005,0.011180339887498949,0.045,0.054198708471697,206.4508138205087,10.647417871343109,977.325,147.33562132933093,22.91917623996735,28.101208762597622,22.384609603881835,27.558394341195942,12.879822762161492,6.05282103860915,13.524381831762753,0.8901414886897496,1288.92699381353,165.3118139642517,0.7728183899742124,0.06512402113193888,1.3755867582566954,0.1915618696040034
HW_GA_SAC,city1_4_unseen,moderate_noise,noise_curve,5,0.945,0.054198708471696985,0.005,0.011180339887498949,0.05,0.05863019699779287,204.43789923351454,13.16564411684503,988.4950000000001,159.10751121490148,17.858414902687073,15.83137022966964,17.388298602104186,15.677776178512385,12.782356958575546,6.3099023354281565,13.494489912694913,1.0067921231778403,1295.749622918764,178.05199362621983,0.736573158936379,0.09911071081427174,1.371171820511144,0.19017977924175325
HW_GA_SAC,city1_4_unseen,moderate_noise_latency_50ms,combined,5,0.9550000000000001,0.04808846015417836,0.005,0.011180339887498949,0.04,0.0518411033833193,208.47821137526716,8.25769391760732,989.6,153.01363705565592,16.356997036933898,10.098357397832034,15.91257631778717,9.669982894584262,12.801704513377043,6.196045099755691,13.44143376309411,0.9766736927201118,1296.1528351398185,185.0909821196942,0.7381502306735686,0.10301357728094987,1.3777083583148748,0.18856585252339028
HW_GA_SAC,city42_train_replay,clean,clean,5,0.9400000000000001,0.08944271909999157,0.04,0.08944271909999159,0.02,0.044721359549995794,200.08011854564788,47.80983126798404,937.4,118.88263119564604,26.30202548980713,34.796234519936,25.46067533493042,34.579855847588185,13.20756570339203,8.150740877626944,13.692014435528296,0.8793175459892186,1257.1109377439686,206.7958805655634,0.7847161604223629,0.20302704303920174,1.3825834538534338,0.2057147598645866
HW_GA_SAC,city42_train_replay,latency_10ms,latency_curve,5,0.96,0.0547722557505166,0.02,0.044721359549995794,0.02,0.044721359549995794,206.18675161333772,33.0159607874266,970.8,88.95541017835849,12.029073810577392,3.2397256995679875,11.420962581634521,2.7696455676270806,13.127454051971435,8.182278861578654,13.58864103325005,0.98169500500767,1288.1155778562343,168.57242417900542,0.729437213931612,0.0971648115225424,1.3959193337037703,0.19680095579978085
HW_GA_SAC,city42_train_replay,latency_30ms,latency_curve,5,0.9400000000000001,0.0547722557505166,0.02,0.044721359549995794,0.04,0.05477225575051661,200.440214956092,33.9932953580438,968.82,86.0666718306221,12.372432918548585,3.045489539509428,11.34233964920044,2.7885365929657744,13.103568029403686,8.161091784470036,13.588976630755175,0.9805184491464171,1286.8007399434866,168.64258107203938,0.7295529890608439,0.09718146361641904,1.3787475399718616,0.1987079440816015
HW_GA_SAC,city42_train_replay,latency_50ms,latency_curve,5,0.96,0.0547722557505166,0.02,0.044721359549995794,0.02,0.044721359549995794,205.2714995832624,32.842258825357035,966.8399999999999,82.99989759029825,12.055573539733887,3.21871599706843,11.317532272338868,2.77905560345886,13.10345461845398,8.160982574594334,13.598997112295223,0.972328594497352,1285.7320561662243,168.60093203632667,0.7302215605944877,0.09717294191314618,1.3926280533221047,0.19649939955781257
HW_GA_SAC,city42_train_replay,mild_noise,noise_curve,5,0.96,0.0547722557505166,0.02,0.044721359549995794,0.02,0.044721359549995794,208.68304227170012,31.48627966970769,934.3799999999999,105.002747583099,24.760533351898193,31.473704306850774,24.191802654266358,31.762385378692333,13.124922575950624,8.12248130723794,13.713124105052378,0.8654893311375522,1256.20161984359,200.75395212000916,0.7849935608765343,0.19713183939280238,1.3813966464278002,0.19815418506269145
HW_GA_SAC,city42_train_replay,mild_noise_latency_30ms,combined,5,0.9800000000000001,0.04472135954999579,0.0,0.0,0.02,0.044721359549995794,213.21984775417786,22.049349542386295,942.1200000000001,100.75024565726878,10.246038513183594,0.6661745075605804,9.97049409866333,0.051701571660322736,13.087558660507202,8.366430380332833,13.706673950401845,0.9873810266384463,1276.2875468196332,172.88028681778724,0.7353161534305537,0.0994706719592301,1.377582228164013,0.19963257241405638
HW_GA_SAC,city42_train_replay,moderate_noise,noise_curve,5,0.96,0.0547722557505166,0.0,0.0,0.04,0.05477225575051661,208.8912996596178,22.391098112256852,962.74,69.71529961206511,10.82306547164917,1.419676569314407,10.133774566650391,0.3090036018749363,12.936309139132499,8.304131242116144,13.584697144482288,0.9830017258821039,1278.2293001887967,168.33949118529534,0.732825097122661,0.09690923866023653,1.3712859472268437,0.19939552296954893
HW_GA_SAC,city42_train_replay,moderate_noise_latency_50ms,combined,5,0.9800000000000001,0.04472135954999579,0.0,0.0,0.02,0.044721359549995794,217.07071551671498,19.410193001148578,940.96,93.0089941887342,10.143852024078369,0.49614800462089903,9.982101993560791,0.13656946785490467,13.283925333023072,7.911734587806994,13.647481146414657,1.0880038698933574,1271.1098161756872,173.5678785082477,0.73687971330231,0.10054853027709877,1.371669006756306,0.20078593861060934
