method,model_seed,condition,condition_group,episodes,success_rate,collision_rate,timeout_rate,reward_mean,steps_mean,final_distance_mean,best_distance_mean,min_obstacle_distance_mean,avg_speed_mean,path_length_mean,path_efficiency_mean,successful_path_stretch_mean
SAC,1,clean,clean,20,0.65,0.0,0.35,110.55190899148336,1324.8,14.73588285446167,11.351799631118775,8.792081069946288,10.92981029668476,1264.6500736504029,0.7725163265906627,1.128167697415021
SAC,1,latency_10ms,latency_curve,20,0.6,0.05,0.35,89.62131383539487,1274.0,43.245250606536864,38.77146768569946,8.075472221150994,11.035054108345275,1260.6661126604372,0.8254936015994291,1.1141211126378323
SAC,1,latency_30ms,latency_curve,20,0.6,0.05,0.35,90.18855543055517,1274.0,42.54112386703491,38.84585056304932,8.057209212332964,11.043956233655718,1262.8592564226435,0.8246458513111768,1.1138535661418925
SAC,1,latency_50ms,latency_curve,20,0.65,0.0,0.35,103.90010664229897,1300.5,14.612511348724365,11.221418142318726,8.108996418491007,11.114301617179528,1292.4630444471318,0.7653179782375148,1.1159548643562227
SAC,1,mild_noise,noise_curve,20,0.65,0.0,0.35,112.60467551207095,1292.3,15.567977666854858,11.322587871551514,8.295903269946574,11.01128236552866,1247.1839976046099,0.7809366618863899,1.1131714994647017
SAC,1,mild_noise_latency_30ms,combined,20,0.6,0.05,0.35,85.95281477015635,1283.3,24.795167255401612,18.082181644439697,6.690739787649363,11.252779928478603,1289.4024257411927,0.7730426266630608,1.116856105130525
SAC,1,moderate_noise,noise_curve,20,0.6,0.05,0.35,97.03484558988357,1297.65,14.576858186721802,11.340035915374756,8.632648229598999,10.906708254295959,1247.0124733615296,0.7797750477368609,1.108636738416018
SAC,1,moderate_noise_latency_50ms,combined,20,0.65,0.0,0.35,108.53337913154147,1299.85,14.685500001907348,11.144641017913818,7.895657539367676,11.124069890853866,1300.139794535035,0.7637401318238599,1.1133747008836001
SAC,2,clean,clean,20,1.0,0.0,0.0,219.95876488706645,769.95,9.941775703430176,9.941775703430176,25.035047721862792,13.383703983894776,1029.2358980982613,0.8994361152172793,1.1123849964336046
SAC,2,latency_10ms,latency_curve,20,1.0,0.0,0.0,219.91362397926582,770.7,9.941008472442627,9.941008472442627,24.888992977142333,13.402253132839817,1032.4692258330044,0.8965280190697426,1.1159575640767103
SAC,2,latency_30ms,latency_curve,20,1.0,0.0,0.0,219.9136179448714,770.7,9.941062021255494,9.941062021255494,24.888997316360474,13.402253125051658,1032.4692268989095,0.8965280173813944,1.1159575662279821
SAC,2,latency_50ms,latency_curve,20,1.0,0.0,0.0,219.91362853104744,770.7,9.94095778465271,9.94095778465271,24.888974761962892,13.402252718420902,1032.469191927657,0.8965280457601918,1.1159575309480327
SAC,2,mild_noise,noise_curve,20,1.0,0.0,0.0,219.86311047327655,768.95,9.936925983428955,9.936925983428955,24.91594738960266,13.392514561081114,1028.6413002409513,0.8999505416015918,1.1117404938126003
SAC,2,mild_noise_latency_30ms,combined,20,1.0,0.0,0.0,219.9149509959588,770.35,9.934609413146973,9.934609413146973,24.76556839942932,13.40689132811649,1032.2855717120485,0.896713160215727,1.1157455076169474
SAC,2,moderate_noise,noise_curve,20,1.0,0.0,0.0,219.69099014480184,766.95,9.925346183776856,9.925346183776856,24.475908946990966,13.407769191214559,1027.161771609171,0.9012384593749596,1.1101604420269344
SAC,2,moderate_noise_latency_50ms,combined,20,1.0,0.0,0.0,217.7832467850798,769.05,9.925249052047729,9.925249052047729,24.344668006896974,13.41156198086755,1030.972197234772,0.897842548783267,1.114358380393739
SAC,3,clean,clean,20,1.0,0.0,0.0,215.0124672867321,775.65,9.933470964431763,9.933470964431763,25.346086692810058,14.224172499958266,1101.7610387249756,0.8330834232217457,1.20085305073832
SAC,3,latency_10ms,latency_curve,20,1.0,0.0,0.0,214.6242499099912,781.75,9.924137687683105,9.924137687683105,25.183993196487428,14.182914821255059,1107.6675311048284,0.8288132104049281,1.2071722746867497
SAC,3,latency_30ms,latency_curve,20,1.0,0.0,0.0,214.62638986097676,781.8,9.924369287490844,9.924369287490844,25.183992862701416,14.1824393144011,1107.6828998434783,0.8288022100435128,1.2071872384358067
SAC,3,latency_50ms,latency_curve,20,1.0,0.0,0.0,214.62530740533288,781.8,9.928733348846436,9.928733348846436,25.18399338722229,14.182245064060329,1107.6846225925706,0.8288007420791681,1.2071890856973675
SAC,3,mild_noise,noise_curve,20,1.0,0.0,0.0,217.11222838160273,774.85,9.924180364608764,9.924180364608764,25.511811590194704,14.24603815805315,1102.2760349400417,0.8326924546648851,1.2013996041734876
SAC,3,mild_noise_latency_30ms,combined,20,1.0,0.0,0.0,213.89362220156795,780.95,9.9260103225708,9.9260103225708,25.205057382583618,14.195754583967101,1107.5167985489334,0.8288836066685523,1.207037791650865
SAC,3,moderate_noise,noise_curve,20,1.0,0.0,0.0,216.85386990805137,774.75,9.921317625045777,9.921317625045777,25.56559853553772,14.240154515428841,1101.7441756496896,0.833055294733191,1.2007770524221635
SAC,3,moderate_noise_latency_50ms,combined,20,0.95,0.05,0.0,195.14462123816816,744.7,50.3485032081604,50.3485032081604,25.347250175476074,14.085318161684063,1056.5169039713844,1.0433094975494417,1.205320494977521
SAC,4,clean,clean,20,1.0,0.0,0.0,226.61052094616463,814.4,9.89596004486084,9.89596004486084,26.83380389213562,14.810732728775047,1205.3642322740957,0.7619594696015035,1.313765717230494
SAC,4,latency_10ms,latency_curve,20,1.0,0.0,0.0,226.57532948779453,814.65,9.912026977539062,9.912026977539062,27.450772762298584,14.809551587964572,1206.5970528221346,0.7611737512463274,1.3151475120805338
