method,model_seed,city_seed,city_split,condition,condition_group,episodes,success_rate,collision_rate,timeout_rate,reward_mean,steps_mean,final_distance_mean,best_distance_mean,min_obstacle_distance_mean,avg_speed_mean,path_length_mean,path_efficiency_mean,successful_path_stretch_mean
HW_GA_SAC,1,1,city1_4_unseen,clean,clean,10,1.0,0.0,0.0,243.21184111928673,1019.1,9.90143051147461,9.90143051147461,17.63047218322754,15.079807777073245,1535.1529059866857,0.6092661025132236,1.6456039924905785
HW_GA_SAC,1,1,city1_4_unseen,latency_10ms,latency_curve,10,1.0,0.0,0.0,243.53818260863017,1020.2,9.91470890045166,9.91470890045166,18.27856864929199,15.061104053938227,1536.0619420832759,0.6088247432890822,1.6465938018409516
HW_GA_SAC,1,1,city1_4_unseen,latency_30ms,latency_curve,10,1.0,0.0,0.0,243.5381628348278,1020.2,9.913270378112793,9.913270378112793,18.27857666015625,15.061103167182234,1536.0618823131026,0.6088247807731286,1.6465937302131675
HW_GA_SAC,1,1,city1_4_unseen,latency_50ms,latency_curve,10,1.0,0.0,0.0,243.53818518253752,1020.2,9.914485549926757,9.914485549926757,18.278567123413087,15.061103146528756,1536.061874675679,0.6088247778861564,1.6465937261862393
HW_GA_SAC,1,1,city1_4_unseen,mild_noise,noise_curve,10,1.0,0.0,0.0,243.25661963585512,1017.1,9.927589225769044,9.927589225769044,18.032499504089355,15.096477788829631,1534.1047646564425,0.6096605322309646,1.6444598363843927
HW_GA_SAC,1,1,city1_4_unseen,mild_noise_latency_30ms,combined,10,1.0,0.0,0.0,243.50407818651541,1020.1,9.912063694000244,9.912063694000244,18.14962491989136,15.05566083376318,1535.3242320171917,0.6091485893147496,1.6457714352819515
HW_GA_SAC,1,1,city1_4_unseen,moderate_noise,noise_curve,10,1.0,0.0,0.0,243.17232307030613,1015.9,9.911753463745118,9.911753463745118,17.6933874130249,15.081781801643922,1530.3315164338758,0.6111579504202546,1.6403800885554478
HW_GA_SAC,1,1,city1_4_unseen,moderate_noise_latency_50ms,combined,10,1.0,0.0,0.0,243.206275323919,1020.3,9.928627872467041,9.928627872467041,17.748998069763182,15.028737699059672,1532.138592212971,0.610432700439716,1.6423407194431767
HW_GA_SAC,1,2,city1_4_unseen,clean,clean,10,1.0,0.0,0.0,229.80813856118806,1093.6,9.949018001556396,9.949018001556396,16.251574277877808,14.479042038043607,1547.5601216097941,0.5890806211529827,1.7065665799791965
HW_GA_SAC,1,2,city1_4_unseen,latency_10ms,latency_curve,10,0.9,0.0,0.1,219.65117852786528,1130.6,10.719367218017577,10.056362628936768,17.78188591003418,14.44793403336794,1573.4060590972117,0.5817490664771997,1.6873062120381221
HW_GA_SAC,1,2,city1_4_unseen,latency_30ms,latency_curve,10,0.9,0.0,0.1,219.6511908896519,1130.6,10.718565082550048,10.055563640594482,17.781884384155273,14.447942264517327,1573.4069160613803,0.5817487607363913,1.687307208240984
HW_GA_SAC,1,2,city1_4_unseen,latency_50ms,latency_curve,10,0.9,0.0,0.1,219.65119297979805,1130.6,10.719192790985108,10.056282424926758,17.7818811416626,14.447935572490573,1573.4062898317566,0.5817489934111358,1.6873062855278569
HW_GA_SAC,1,2,city1_4_unseen,mild_noise,noise_curve,10,1.0,0.0,0.0,241.07752127465696,1018.0,9.948920154571534,9.948920154571534,16.34506974220276,14.974355656434536,1522.8016634621931,0.597157883542553,1.6779838150001374
HW_GA_SAC,1,2,city1_4_unseen,mild_noise_latency_30ms,combined,10,0.9,0.0,0.1,219.63461513951248,1130.3,10.783201789855957,10.158632850646972,17.56166982650757,14.447334473301812,1572.902221256983,0.5819208948663795,1.6870074676887357
HW_GA_SAC,1,2,city1_4_unseen,moderate_noise,noise_curve,10,0.9,0.0,0.1,215.98962376824238,1128.1,10.694731616973877,9.921695995330811,16.55849379301071,14.449955873789335,1567.9822100541346,0.5836295804974205,1.6828973031509065
HW_GA_SAC,1,2,city1_4_unseen,moderate_noise_latency_50ms,combined,10,0.9,0.0,0.1,219.30318626021062,1129.1,10.899863052368165,10.373977851867675,17.68232307434082,14.42621320097532,1568.2156837339344,0.583576965237943,1.6825773820847678
HW_GA_SAC,1,3,city1_4_unseen,clean,clean,10,0.8,0.0,0.2,176.85183830156035,1282.0,97.09735679626465,93.76454048156738,16.450158047676087,13.36030344431892,1573.5333607809016,0.6122154822919489,1.661726617486467
HW_GA_SAC,1,3,city1_4_unseen,latency_10ms,latency_curve,10,0.9,0.0,0.1,217.50407627149917,1227.6,10.831235980987548,10.13440980911255,16.543525171279907,13.87695107216614,1638.0124519343497,0.5817970298470507,1.6858656112671204
HW_GA_SAC,1,3,city1_4_unseen,latency_30ms,latency_curve,10,0.9,0.0,0.1,217.60697278075912,1245.1,10.84125919342041,10.144377040863038,16.54353199005127,13.814324774534143,1645.930093487168,0.5791004762069866,1.6947609973505906
HW_GA_SAC,1,3,city1_4_unseen,latency_50ms,latency_curve,10,0.9,0.0,0.1,217.43095602648287,1234.0,10.841194152832031,10.144356632232666,16.543531942367554,13.847721594583778,1640.1850003610277,0.581031694613,1.6883080090982456
HW_GA_SAC,1,3,city1_4_unseen,mild_noise,noise_curve,10,0.8,0.0,0.2,177.19551521969407,1282.0,96.03270711898804,93.71948614120484,16.424390697479247,13.339306319526344,1569.1588716043789,0.6151487960840971,1.6604883581285588
HW_GA_SAC,1,3,city1_4_unseen,mild_noise_latency_30ms,combined,10,0.8,0.0,0.2,180.50533618280755,1280.8,97.12533626556396,93.82127590179444,16.592618417739867,13.349010551669712,1568.9951934274015,0.6168214264004916,1.6619347737284116
HW_GA_SAC,1,3,city1_4_unseen,moderate_noise,noise_curve,10,0.8,0.0,0.2,182.97481304650108,1280.5,74.57646856307983,73.94201593399048,16.665535116195677,13.410626565467535,1583.0160108151485,0.6055631779723863,1.656851348582772
HW_GA_SAC,1,3,city1_4_unseen,moderate_noise_latency_50ms,combined,10,0.8,0.0,0.2,181.11392052611507,1341.3,97.92016677856445,94.0369478225708,16.25767664909363,12.88366051190387,1575.7916229248606,0.6207688773362644,1.687505037996842
HW_GA_SAC,1,4,city1_4_unseen,clean,clean,10,0.8,0.0,0.2,184.7264871227223,1246.5,89.97558546066284,87.63161239624023,16.32151346206665,13.43930824839705,1517.9705711097492,0.6215060131084674,1.6658214855646998
HW_GA_SAC,1,4,city1_4_unseen,latency_10ms,latency_curve,10,0.7,0.0,0.3,160.07372782153078,1357.0,90.7857873916626,87.71527261734009,17.006608152389525,13.033839522755747,1592.1127059988494,0.5937279021761594,1.6738222758765124
HW_GA_SAC,1,4,city1_4_unseen,latency_30ms,latency_curve,10,0.7,0.0,0.3,159.36450426646394,1357.0,90.94052047729492,87.71515588760376,16.988671112060548,13.0381353045661,1593.0850348912816,0.5929205752354574,1.6738231274776258
HW_GA_SAC,1,4,city1_4_unseen,latency_50ms,latency_curve,10,0.8,0.0,0.2,194.2359459711462,1313.3,11.824018573760986,10.050413799285888,17.206836414337157,13.575440112603648,1667.5110081609625,0.557565078052215,1.719239766787695
HW_GA_SAC,1,4,city1_4_unseen,mild_noise,noise_curve,10,0.8,0.0,0.2,184.52988350782965,1246.0,90.08837642669678,87.69118061065674,16.36233072280884,13.438425821783502,1515.8084817789759,0.6240909343851183,1.6658517645105613
HW_GA_SAC,1,4,city1_4_unseen,mild_noise_latency_30ms,combined,10,0.7,0.1,0.2,138.87857225217647,1154.3,174.90044431686403,172.8313677787781,15.892940950393676,13.132557449601695,1393.795767088812,1.3370799212817146,1.678565648028624
HW_GA_SAC,1,4,city1_4_unseen,moderate_noise,noise_curve,10,0.8,0.0,0.2,182.85103684011247,1246.5,89.4301531791687,87.908154296875,15.975533246994019,13.404829504002654,1511.4400798006807,0.6270818017863207,1.6639665132665065
HW_GA_SAC,1,4,city1_4_unseen,moderate_noise_latency_50ms,combined,10,0.8,0.0,0.2,190.59931257940298,1244.6,15.964425468444825,15.126830959320069,16.277840900421143,13.852906925207416,1609.9254845133132,0.5742214034810555,1.6604095933795526
HW_GA_SAC,1,42,city42_train_replay,clean,clean,10,1.0,0.0,0.0,244.76724791394363,1033.1,9.950434398651122,9.950434398651122,17.559514665603636,14.903871779209476,1538.5422482978058,0.593640735150193,1.6879058040289059
HW_GA_SAC,1,42,city42_train_replay,latency_10ms,latency_curve,10,1.0,0.0,0.0,244.2296925773423,1034.4,9.971912384033203,9.971912384033203,17.489188528060915,14.890053803429229,1539.953362443804,0.5930774301035425,1.689443841737106
HW_GA_SAC,1,42,city42_train_replay,latency_30ms,latency_curve,10,1.0,0.0,0.0,244.2296946075594,1034.4,9.971829700469971,9.971829700469971,17.489187383651732,14.890053577551715,1539.9533245990685,0.5930774430584839,1.6894438055264775
HW_GA_SAC,1,42,city42_train_replay,latency_50ms,latency_curve,10,1.0,0.0,0.0,244.2297285688741,1034.4,9.97091588973999,9.97091588973999,17.489188528060915,14.890052160057085,1539.9531874367099,0.5930775007030024,1.6894436660140228
HW_GA_SAC,1,42,city42_train_replay,mild_noise,noise_curve,10,1.0,0.0,0.0,244.5032603466695,1033.0,9.960665321350097,9.960665321350097,17.553695106506346,14.901414795061976,1537.967296893396,0.5938587209701618,1.6872676991579607
HW_GA_SAC,1,42,city42_train_replay,mild_noise_latency_30ms,combined,10,1.0,0.0,0.0,244.43919956858468,1035.0,9.956366539001465,9.956366539001465,17.70083932876587,14.888460889858965,1540.5123922297705,0.5928396891381642,1.6900589915184525
