method,model_seeds,city42_success_rate_mean,city42_success_rate_std,city1_4_success_rate_mean,city1_4_success_rate_std,city42_collision_rate_mean,city42_collision_rate_std,city1_4_collision_rate_mean,city1_4_collision_rate_std,city42_timeout_rate_mean,city42_timeout_rate_std,city1_4_timeout_rate_mean,city1_4_timeout_rate_std
GRU_SAC,5,0.774,0.4337971876349592,0.7795,0.4362093462432918,0.009,0.008215838362577492,0.0017500000000000003,0.0016770509831248422,0.217,0.4279544368270996,0.21875,0.4372034709377317
HW_GA_SAC,5,0.9629999999999999,0.03193743884534261,0.9574999999999999,0.03245188746436791,0.015,0.01414213562373095,0.011,0.01312202347201071,0.022,0.03546124645299429,0.0315,0.039660670064939646
LSTM_SAC,5,0.734,0.42393100853794596,0.73925,0.4276796040846465,0.051000000000000004,0.09229030284921595,0.04775,0.09311199573631744,0.215,0.439260742611948,0.213,0.4404734668512963
PPO,5,0.273,0.3242221460665511,0.26675,0.3301320758423816,0.41600000000000004,0.4013010092187659,0.4425,0.39963948597454685,0.31100000000000005,0.38633534655788354,0.29074999999999995,0.3738488581632957
SAC,5,0.921,0.10766847263707237,0.91425,0.11156766444629018,0.015,0.016583123951777,0.014250000000000002,0.014989579713921269,0.064,0.1033440854621105,0.0715,0.09714438352267206
SAC_Large,5,0.8480000000000001,0.2786933798998462,0.8539999999999999,0.272205115675661,0.016999999999999998,0.016431676725154984,0.013999999999999999,0.011739356881873896,0.135,0.2797766966707556,0.132,0.2693548426332818
TD3,5,0.746,0.2724518306049713,0.74775,0.29349643311290846,0.026000000000000002,0.05538501602419196,0.03375,0.06716932893813962,0.22799999999999998,0.2927584328418227,0.2185,0.3142878855444479
