method,train_seed,city_seed,episode_seed,success,collision,timeout,done_reason,episode_steps,total_reward,final_distance,mean_speed,min_clearance,path_length,path_efficiency,success_weighted_path_length
SAC_Large,1,2,9000,True,False,False,success,855,213.5097387929387,9.764561653137207,13.845651074111114,3.0673561096191406,1182.5947965011,1.352767951769867,1182.5947965011
SAC_Large,1,2,9001,False,False,True,timeout,2200,-17.7087798911528,16.255966186523438,7.400422901578925,7.179699897766113,1624.2201033569872,1.7837788133677175,nan
SAC_Large,1,2,9002,False,False,True,timeout,2200,-34.59258069086897,17.246896743774414,8.276819721724499,0.3783531188964844,1818.0443180259317,1.884332833081495,nan
SAC_Large,1,2,9003,False,False,True,timeout,2200,-51.15453365623788,15.728157043457031,7.317099766758355,1.3759479522705078,1606.0209784540348,1.8248580340968905,nan
SAC_Large,1,2,9004,True,False,False,success,882,213.0036029911648,9.718247413635254,14.258334635201495,3.1942882537841797,1255.7312662377954,1.3237471803187328,1255.7312662377954
SAC_Large,1,2,9005,True,False,False,success,1317,185.86914141753186,9.98299789428711,12.688382126204246,0.5060501098632812,1670.0075162015855,1.7487209871130331,1670.0075162015855
SAC_Large,1,2,9006,False,False,True,timeout,2200,-20.461549023611283,16.80436134338379,7.039573158032515,6.418895721435547,1544.5073695462197,1.6865995748807885,nan
SAC_Large,1,2,9007,False,False,True,timeout,2200,-19.881217988575898,16.2728328704834,6.427863658822395,6.654926300048828,1410.1955966800451,1.6375586864207166,nan
SAC_Large,1,2,9008,True,False,False,success,934,202.43321935890424,9.787201881408691,14.567189517700188,2.2784042358398438,1359.634954303503,1.4402838153259385,1359.634954303503
SAC_Large,1,2,9009,False,False,True,timeout,2200,-18.828029979296844,13.302485466003418,7.573310622992841,11.840806007385254,1662.298247974366,1.8287337829989796,nan
SAC_Large,1,2,9010,True,False,False,success,894,224.91704376597417,9.88412094116211,13.506406895933003,5.807934284210205,1205.5616207122803,1.347737569626902,1205.5616207122803
SAC_Large,1,2,9011,False,False,True,timeout,2200,-52.21440186770051,17.012062072753906,7.451688220941207,2.4774436950683594,1635.1573942787945,1.7151196120614858,nan
SAC_Large,1,2,9012,True,False,False,success,833,227.85230162681358,9.954504013061523,14.394084818294498,10.543455123901367,1198.4366024658084,1.3822485825345128,1198.4366024658084
SAC_Large,1,2,9013,True,False,False,success,920,220.03804456215457,9.98180103302002,13.546644779586273,5.108722686767578,1245.5304342508316,1.3817099972121485,1245.5304342508316
SAC_Large,1,2,9014,False,False,True,timeout,2200,-23.253320320994973,17.067798614501953,7.943088985708627,6.392755508422852,1744.2633504495025,1.8441867795492068,nan
SAC_Large,1,2,9015,False,False,True,timeout,2200,-37.39655406141037,16.659637451171875,8.343199846419422,3.4086341857910156,1832.7902802862227,2.0717374525691588,nan
SAC_Large,1,2,9016,False,False,True,timeout,2200,-25.268444766641238,18.038862228393555,7.888762912696058,4.27752685546875,1731.6142485234886,1.783174705965393,nan
SAC_Large,1,2,9017,False,False,True,timeout,2200,-22.754318549412417,15.598475456237793,6.7215726450221105,4.5552520751953125,1474.467259740457,1.7265397440149297,nan
SAC_Large,1,2,9018,False,False,True,timeout,2200,-17.204806274442745,13.587762832641602,7.84481304967268,9.169183731079102,1721.7838367260993,1.7888824321622474,nan
SAC_Large,1,2,9019,False,False,True,timeout,2200,-40.76564244745769,16.99388885498047,7.969046929505739,3.052549362182617,1749.6511971279979,1.882371360722756,nan
