variant,seed,episode,eval_seed,reward,steps,success,collision,timeout,init_distance,final_distance,best_distance,min_obstacle_distance,avg_speed
wo_lidar,1,0,53000,-266.8033266519707,541,False,True,False,992.1603393554688,313.8196716308594,313.8196716308594,0.0265655517578125,14.683386040703427
wo_lidar,1,1,53001,-274.05516927024576,524,False,True,False,905.8292236328125,280.3870544433594,280.3870544433594,0.0046539306640625,14.541678918454483
wo_lidar,1,2,53002,213.85425015313228,726,True,False,False,999.43017578125,9.986799240112305,9.986799240112305,19.59735107421875,15.253632740294638
wo_lidar,1,3,53003,215.09265798291727,726,True,False,False,963.1393432617188,9.896402359008789,9.896402359008789,39.38853454589844,14.250933028449698
wo_lidar,1,4,53004,216.51871379417375,664,True,False,False,857.6984252929688,9.96306037902832,9.96306037902832,15.741531372070312,15.005667964916631
wo_lidar,1,5,53005,-166.7313084751609,492,False,True,False,934.170166015625,315.4521484375,315.4521484375,0.0,15.102300404048547
wo_lidar,1,6,53006,212.33765330111888,702,True,False,False,974.5997924804688,9.900120735168457,9.900120735168457,39.98423767089844,14.73794587461697
wo_lidar,1,7,53007,219.45135768321367,696,True,False,False,860.0551147460938,9.914568901062012,9.914568901062012,12.902603149414062,14.511561322400624
wo_lidar,1,8,53008,213.9925019158446,648,True,False,False,872.6439819335938,9.926427841186523,9.926427841186523,38.03138732910156,14.40363271203306
wo_lidar,1,9,53009,-141.02769350400854,101,False,True,False,954.9031372070312,819.2503051757812,819.2503051757812,42.53040313720703,13.96521761629841
wo_lidar,1,10,53010,-284.75426419954096,526,False,True,False,988.7879028320312,324.9478454589844,324.9478454589844,0.0,14.725752470271216
wo_lidar,1,11,53011,-276.5467751312086,537,False,True,False,891.814453125,238.00729370117188,238.00729370117188,0.0,14.525244047410883
wo_lidar,1,12,53012,-141.4930761168085,101,False,True,False,980.7216796875,853.3995361328125,853.3995361328125,39.00571060180664,13.395316419625047
wo_lidar,1,13,53013,-171.4544085011153,484,False,True,False,992.5381469726562,382.5673828125,382.5673828125,0.0,15.196966571871899
wo_lidar,1,14,53014,-161.80499483795634,490,False,True,False,925.9822998046875,333.7561950683594,333.7561950683594,0.0,14.624512796864218
wo_lidar,1,15,53015,-158.08810161108448,514,False,True,False,850.9417114257812,216.79544067382812,216.79544067382812,0.041046142578125,15.131712516690042
