method,train_seed,city_seed,episode_seed,success,collision,timeout,done_reason,episode_steps,total_reward,final_distance,mean_speed,min_clearance,path_length,path_efficiency,success_weighted_path_length
td3,1,4,9000,True,False,False,success,648,202.86848672013755,9.921690940856934,14.67228560756754,5.357219696044922,949.8851613737643,1.0865718401349158,949.8851613737643
td3,1,4,9001,True,False,False,success,1935,213.1158141720394,9.96660041809082,7.606740403321671,9.610271453857422,1467.7743077352643,1.4771675389391445,1467.7743077352643
td3,1,4,9002,True,False,False,success,1804,133.1456486144278,9.980673789978027,7.690601069149778,0.3681221008300781,1383.819564661011,1.434275619629912,1383.819564661011
td3,1,4,9003,True,False,False,success,725,197.72832528878305,9.992457389831543,14.06123855261967,5.146015167236328,1017.6566595211625,1.1563229596583677,1017.6566595211625
td3,1,4,9004,True,False,False,success,756,211.0517442704266,9.951644897460938,14.28809472713521,4.922435760498047,1078.3366549015045,1.1367440986293706,1078.3366549015045
td3,1,4,9005,True,False,False,success,711,210.13564239977086,9.957426071166992,15.280692441218681,7.262027740478516,1085.0822582691908,1.1362260944161473,1085.0822582691908
td3,1,4,9006,False,False,True,timeout,2200,-40.02336548131728,15.000341415405273,6.899741369113326,5.038154602050781,1513.9302989812568,1.651261892532312,nan
td3,1,4,9007,False,False,True,timeout,2200,-27.517316372178172,16.575557708740234,6.840768790475347,14.934593200683594,1501.2059419807047,1.7432424524543852,nan
td3,1,4,9008,True,False,False,success,2057,195.82256655228363,9.928689956665039,7.712616998787406,4.015380859375,1581.9490740317851,1.6757848426786102,1581.9490740317851
td3,1,4,9009,True,False,False,success,1974,211.65017417356054,9.998542785644531,7.35405473294833,8.205366134643555,1447.8247882016003,1.695300960856618,1447.8247882016003
td3,1,4,9010,True,False,False,success,669,198.79130993554392,9.936667442321777,14.253118659348766,1.9274749755859375,952.9252736493945,1.1200754834474218,952.9252736493945
td3,1,4,9011,True,False,False,success,697,198.34301291429227,9.977837562561035,15.508995308937608,4.306872367858887,1080.501642409712,1.133340169114983,1080.501642409712
td3,1,4,9012,False,False,True,timeout,2200,-38.43334743712347,14.348787307739258,6.5538693981753156,4.937508583068848,1437.7290142849088,1.6582428206674833,nan
td3,1,4,9013,False,False,True,timeout,2200,-144.41208998572534,15.101537704467773,6.677845796258612,0.4383201599121094,1465.0269028190523,1.6252050228121384,nan
td3,1,4,9014,False,False,True,timeout,2200,-37.6767332744078,17.76579475402832,6.937201622612775,5.086952209472656,1522.3137517478317,1.6988834679425286,nan
td3,1,4,9015,True,False,False,success,1983,197.62955580580973,9.999536514282227,7.53159808313011,2.5673294067382812,1489.3804805288091,1.4977770457064883,1489.3804805288091
td3,1,4,9016,True,False,False,success,713,199.2354316580615,9.969236373901367,15.108477553846459,5.1585693359375,1076.3583137840033,1.1037802879431895,1076.3583137840033
td3,1,4,9017,True,False,False,success,682,152.71656426038035,9.94295883178711,14.214543542117317,0.27256011962890625,967.8790058903396,1.13334600007428,967.8790058903396
td3,1,4,9018,False,False,True,timeout,2200,-51.845599638751146,16.92685317993164,7.0385203642059455,3.293964385986328,1544.4512906605378,1.5457589211932365,nan
td3,1,4,9019,False,False,True,timeout,2200,-39.0280317358949,19.27532958984375,7.124038744294508,6.039866924285889,1563.7734156437218,1.6823937805999178,nan
