"method","model_seed","episodes","success_rate","collision_rate","timeout_rate","reward_mean","steps_mean","final_distance_mean","best_distance_mean","min_obstacle_distance_mean","avg_speed_mean","path_length_mean","path_efficiency_mean","successful_path_stretch_mean"
"PPO","1","1000","0.15","0.719","0.131","-171.09037109063706","1062.98","165.21442899799348","164.61953104305266","0.8426411798997869","11.450217322297974","1155.672753835375","1.4148393704874342","1.8982837451680288"
"PPO","2","1000","0.0","0.105","0.895","-130.13169298405066","2117.038","927.7158790588379","834.5133017272949","19.924820910006527","6.959961820203541","1472.3855517846262","0.7116173628224548","nan"
"PPO","3","1000","0.42","0.153","0.427","47.55043379065351","1955.944","69.93778560352325","55.03118953895569","15.43846963830432","10.722601946946051","2091.6326521205865","0.6524920730724025","2.2375401198085862"
"PPO","4","1000","0.77","0.209","0.021","117.96738965499462","1259.246","108.43836171531677","108.15041347694397","9.128154258512659","9.30478035294647","1160.593747685819","1.2030668441499575","1.3852556779495326"
"PPO","5","1000","0.0","1.0","0.0","-184.84913941123057","148.741","887.2030130615234","886.7847266540527","0.006812853813171387","8.921416793049307","120.70572343219659","13.498670125170756","nan"
