method,model_seed,city_seed,episode,eval_seed,success,collision,timeout,reward,steps,init_distance,final_distance,best_distance,min_obstacle_distance,avg_speed,path_length,path_efficiency,successful_path_stretch
GRU_SAC,1,42,0,9000,1,0,0,216.5322193,672,nan,9.988995552,9.988995552,18.86252785,14.52760097,975.8186744,1.116237137,1.116237137
GRU_SAC,1,42,1,9001,1,0,0,213.8543481,667,nan,9.933826447,9.933826447,36.7895813,14.94143098,996.0248907,1.09387151,1.09387151
GRU_SAC,1,42,2,9002,1,0,0,216.5096929,733,nan,9.930088997,9.930088997,24.12740707,14.51328326,1063.395833,1.102168777,1.102168777
GRU_SAC,1,42,3,9003,1,0,0,216.0115226,678,nan,9.911682129,9.911682129,12.1161499,14.48226835,981.4573367,1.115191103,1.115191103
GRU_SAC,1,42,4,9004,1,0,0,214.174895,693,nan,9.870227814,9.870227814,22.94163322,14.90065298,1031.825865,1.092976726,1.092976726
GRU_SAC,1,42,5,9005,1,0,0,215.3877602,737,nan,9.951967239,9.951967239,10.73320007,14.62566105,1076.928576,1.127688099,1.127688099
GRU_SAC,1,42,6,9006,1,0,0,216.3138016,685,nan,9.918738365,9.918738365,29.04495239,14.7962349,1012.603101,1.130193437,1.130193437
GRU_SAC,1,42,7,9007,1,0,0,218.7417435,698,nan,9.887732506,9.887732506,31.35076904,14.08209432,981.9387941,1.140254874,1.140254874
GRU_SAC,1,42,8,9008,1,0,0,215.5129528,706,nan,9.891312599,9.891312599,29.94492149,14.83570018,1046.783479,1.108875068,1.108875068
GRU_SAC,1,42,9,9009,1,0,0,215.1808394,653,nan,9.850596428,9.850596428,18.37664986,14.7370132,961.7403164,1.126130244,1.126130244
GRU_SAC,1,42,10,9010,1,0,0,215.5161466,647,nan,9.93491745,9.93491745,34.44180298,14.80537344,957.5211619,1.125477525,1.125477525
GRU_SAC,1,42,11,9011,1,0,0,209.2657713,690,nan,9.874256134,9.874256134,6.512207031,14.80961196,1020.717285,1.104164679,1.104164679
GRU_SAC,1,42,12,9012,1,0,0,217.6922249,684,nan,9.846961021,9.846961021,26.70989037,14.27500914,975.6192037,1.125256237,1.125256237
GRU_SAC,1,42,13,9013,1,0,0,213.4946116,662,nan,9.943156242,9.943156242,36.48458862,14.97264712,990.0358399,1.104167496,1.104167496
GRU_SAC,1,42,14,9014,1,0,0,213.3603945,659,nan,9.846545219,9.846545219,21.00177002,14.91368732,981.8970317,1.095785039,1.095785039
GRU_SAC,1,42,15,9015,1,0,0,193.3399943,673,nan,9.961003304,9.961003304,3.350242615,14.55611714,978.6536984,1.106244147,1.106244147
GRU_SAC,1,42,16,9016,1,0,0,207.6899415,798,nan,9.867981911,9.867981911,4.559443474,13.84224577,1103.693679,1.131812065,1.131812065
GRU_SAC,1,42,17,9017,1,0,0,215.9524221,652,nan,9.881946564,9.881946564,11.84105682,14.58405503,949.7320006,1.112096613,1.112096613
GRU_SAC,1,42,18,9018,1,0,0,217.4684916,768,nan,9.972249031,9.972249031,29.48114014,14.5535311,1116.59692,1.117542302,1.117542302
GRU_SAC,1,42,19,9019,1,0,0,216.2238242,770,nan,9.873872757,9.873872757,7.818935394,14.08027204,1083.332091,1.113261177,1.113261177
GRU_SAC,1,42,20,9020,1,0,0,215.2883378,669,nan,9.990675926,9.990675926,13.85363007,14.65912327,980.2612261,1.1136519,1.1136519
GRU_SAC,1,42,21,9021,1,0,0,213.1306361,730,nan,9.99228096,9.99228096,14.87266445,14.94053199,1089.993624,1.095285409,1.095285409
GRU_SAC,1,42,22,9022,1,0,0,213.5870006,713,nan,9.952377319,9.952377319,30.42202187,14.90476319,1062.332169,1.074352538,1.074352538
GRU_SAC,1,42,23,9023,1,0,0,214.4268749,735,nan,9.937869072,9.937869072,11.1392374,14.71870268,1080.81537,1.087251616,1.087251616
GRU_SAC,1,42,24,9024,1,0,0,217.8758329,776,nan,9.95539093,9.95539093,29.63243103,14.37547627,1114.942323,1.119267872,1.119267872
GRU_SAC,1,42,25,9025,1,0,0,216.1516051,753,nan,9.991827011,9.991827011,13.75265503,14.51182276,1092.068927,1.101920367,1.101920367
GRU_SAC,1,42,26,9026,1,0,0,212.0928875,736,nan,9.84753418,9.84753418,4.171925068,13.69355297,1007.281332,1.129764444,1.129764444
GRU_SAC,1,42,27,9027,1,0,0,216.4703266,676,nan,9.943733215,9.943733215,27.45644188,14.49713468,979.5990999,1.114639854,1.114639854
GRU_SAC,1,42,28,9028,1,0,0,217.9948528,705,nan,9.954450607,9.954450607,31.30160522,14.30746598,1008.251679,1.123642279,1.123642279
GRU_SAC,1,42,29,9029,1,0,0,217.7577133,724,nan,9.883421898,9.883421898,13.45294189,14.2686491,1032.238962,1.123742344,1.123742344
GRU_SAC,1,42,30,9030,1,0,0,206.3809452,795,nan,9.86199379,9.86199379,4.087000847,13.76539145,1093.811538,1.10610999,1.10610999
GRU_SAC,1,42,31,9031,1,0,0,216.4787085,718,nan,9.892549515,9.892549515,31.49177551,14.74806516,1058.332589,1.124584145,1.124584145
GRU_SAC,1,42,32,9032,1,0,0,215.1146336,675,nan,9.910905838,9.910905838,34.8863678,14.66014612,988.6047061,1.109684385,1.109684385
GRU_SAC,1,42,33,9033,1,0,0,214.4520191,688,nan,9.831488609,9.831488609,35.91149902,14.55497265,1000.566506,1.07276881,1.07276881
