method,train_seed,city_seed,episode_seed,success,collision,timeout,done_reason,episode_steps,total_reward,final_distance,mean_speed,min_clearance,path_length,path_efficiency,success_weighted_path_length
HW_GA_SAC_wo_camera,1,1,9000,True,False,False,success,678,197.89302510447197,9.923258781433105,14.088405076293467,4.161186218261719,954.533816922456,1.0918894284277894,954.533816922456
HW_GA_SAC_wo_camera,1,1,9001,True,False,False,success,1072,187.0361301057834,9.968628883361816,11.715915431004406,3.7923855781555176,1254.1698354296386,1.2621960743214342,1254.1698354296386
HW_GA_SAC_wo_camera,1,1,9002,True,False,False,success,745,183.95478437966835,9.94025707244873,14.072179850235882,1.2437896728515625,1047.7335915900767,1.1093598015110535,1047.7335915900767
HW_GA_SAC_wo_camera,1,1,9003,True,False,False,success,676,208.62205603299276,9.987214088439941,14.388557662977975,4.817218780517578,971.5977157242596,1.1039880059078238,971.5977157242596
HW_GA_SAC_wo_camera,1,1,9004,True,False,False,success,639,202.7897006023155,9.985779762268066,15.553890305972063,6.280658721923828,991.9349788613617,1.050721717419839,991.9349788613617
HW_GA_SAC_wo_camera,1,1,9005,False,True,False,collision,361,-267.1158238825709,818.8900146484375,8.001785442109254,0.0,287.853736307472,0.30142131997387667,nan
HW_GA_SAC_wo_camera,1,1,9006,True,False,False,success,784,183.19758427683448,9.993566513061523,13.419131989077647,3.6128578186035156,1051.3355664536357,1.1734237788941113,1051.3355664536357
HW_GA_SAC_wo_camera,1,1,9007,True,False,False,success,864,201.16182327976549,9.977309226989746,12.037806888904285,2.2234225273132324,1037.9411420449615,1.2052863710187876,1037.9411420449615
HW_GA_SAC_wo_camera,1,1,9008,True,False,False,success,676,209.46250405664006,9.984909057617188,14.907520880713266,9.859085083007812,1006.5165187418461,1.0662196107959774,1006.5165187418461
HW_GA_SAC_wo_camera,1,1,9009,True,False,False,success,820,129.17698676837927,9.97452449798584,13.10724760272154,0.0,1073.4740903675556,1.1809543423518791,1073.4740903675556
HW_GA_SAC_wo_camera,1,1,9010,True,False,False,success,875,213.92247054309428,9.925256729125977,12.141315247058868,7.228205680847168,1061.4088197387755,1.2475878537163005,1061.4088197387755
HW_GA_SAC_wo_camera,1,1,9011,True,False,False,success,787,91.59036806092323,9.890630722045898,13.93209916868234,0.24882444739341736,1094.93487617746,1.1484792146815723,1094.93487617746
HW_GA_SAC_wo_camera,1,1,9012,True,False,False,success,647,212.26636526732898,9.975866317749023,14.158564478020764,10.134857177734375,914.0979725494981,1.0542990962179528,914.0979725494981
HW_GA_SAC_wo_camera,1,1,9013,True,False,False,success,875,166.5955469324581,9.988107681274414,11.545804134811673,1.2019996643066406,1009.0090206675231,1.1193286111648664,1009.0090206675231
HW_GA_SAC_wo_camera,1,1,9014,False,True,False,collision,512,-228.36388815204432,780.7844848632812,4.832067468087189,0.0023651123046875,245.63773202896118,0.2869227535264798,nan
HW_GA_SAC_wo_camera,1,1,9015,True,False,False,success,855,182.97093876182356,9.979775428771973,12.48858215753098,1.9693412780761719,1067.1259338408709,1.2062508119590825,1067.1259338408709
HW_GA_SAC_wo_camera,1,1,9016,True,False,False,success,756,205.60098325211737,9.89604663848877,14.173079083442058,4.2104949951171875,1070.8872612528503,1.0981698514734246,1070.8872612528503
HW_GA_SAC_wo_camera,1,1,9017,True,False,False,success,591,209.94610951211328,9.928157806396484,14.92855474035147,13.223301887512207,881.2893000096083,1.0319530612768721,881.2893000096083
HW_GA_SAC_wo_camera,1,1,9018,True,False,False,success,1457,200.2541307313867,9.987837791442871,9.915124448996828,4.059989929199219,1443.3877371996641,1.4446098009106396,1443.3877371996641
HW_GA_SAC_wo_camera,1,1,9019,True,False,False,success,1426,212.1403054614921,9.999798774719238,9.575170519642876,9.150005340576172,1364.0022142231464,1.4674688922172887,1364.0022142231464
HW_GA_SAC_wo_camera,1,1,9020,True,False,False,success,862,213.2497224677142,9.968100547790527,12.28402810362265,7.196147918701172,1058.0370955951512,1.2356191060777955,1058.0370955951512
HW_GA_SAC_wo_camera,1,1,9021,True,False,False,success,1153,214.95196655289396,9.996471405029297,11.471290084841142,6.65358829498291,1321.75682653673,1.3281737931577493,1321.75682653673
HW_GA_SAC_wo_camera,1,1,9022,True,False,False,success,803,193.8348125393685,9.974881172180176,13.875325803664671,0.24773406982421875,1113.2125340811908,1.1258086174109538,1113.2125340811908
HW_GA_SAC_wo_camera,1,1,9023,True,False,False,success,795,208.5663434453713,9.961305618286133,14.410436620502352,6.272194862365723,1144.9917907193303,1.1518102062524245,1144.9917907193303
HW_GA_SAC_wo_camera,1,1,9024,True,False,False,success,739,207.68565835677745,9.978766441345215,13.854208879041737,5.218952178955078,1023.0577242933214,1.1299548763586857,1023.0577242933214
HW_GA_SAC_wo_camera,1,1,9025,True,False,False,success,719,210.8966598225486,9.960152626037598,14.619559125376345,8.069554328918457,1049.9571828842163,1.0594287370293487,1049.9571828842163
HW_GA_SAC_wo_camera,1,1,9026,True,False,False,success,746,122.55032935380537,9.993694305419922,13.773447441032042,0.841401994228363,1026.8149056509137,1.152860862424192,1026.8149056509137
HW_GA_SAC_wo_camera,1,1,9027,True,False,False,success,652,196.68803564967814,9.99127197265625,14.390234553009455,3.939189910888672,937.2959989495575,1.0665051407075448,937.2959989495575
HW_GA_SAC_wo_camera,1,1,9028,True,False,False,success,676,201.06639387827764,9.855082511901855,14.100616341688223,2.7083816528320312,951.5087345167994,1.109552596395675,951.5087345167994
HW_GA_SAC_wo_camera,1,1,9029,True,False,False,success,688,203.79139794430188,9.825263977050781,15.095759261486142,5.311622619628906,1037.7949243485928,1.0772393475278472,1037.7949243485928
HW_GA_SAC_wo_camera,1,1,9030,True,False,False,success,870,204.35145519890943,9.840088844299316,13.636937945738605,2.9418563842773438,1184.5981131866574,1.1979173396224696,1184.5981131866574
HW_GA_SAC_wo_camera,1,1,9031,True,False,False,success,770,210.5338990955985,9.963240623474121,14.314802085811442,6.592803955078125,1101.519632358104,1.1337112469660156,1101.519632358104
HW_GA_SAC_wo_camera,1,1,9032,True,False,False,success,676,203.78720349802472,9.896269798278809,14.50516198002375,2.935070037841797,979.3201077021658,1.0992626524146842,979.3201077021658
HW_GA_SAC_wo_camera,1,1,9033,True,False,False,success,919,216.85477553441208,9.991628646850586,12.302949497632286,6.921714782714844,1129.821674656123,1.2113512157499047,1129.821674656123
HW_GA_SAC_wo_camera,1,1,9034,True,False,False,success,1458,215.90028137009472,9.98931884765625,9.833775500620016,4.512498378753662,1432.1328553706408,1.4518866307866054,1432.1328553706408
HW_GA_SAC_wo_camera,1,1,9035,True,False,False,success,729,209.12162887625755,9.965229988098145,13.53275710957531,5.6769256591796875,985.6021408699453,1.1401401171377716,985.6021408699453
HW_GA_SAC_wo_camera,1,1,9036,True,False,False,success,679,209.5777469171769,9.802496910095215,14.246859753781461,5.308139801025391,965.9347533509135,1.132142926046816,965.9347533509135
HW_GA_SAC_wo_camera,1,1,9037,True,False,False,success,673,192.26861900659534,9.8718900680542,14.524315676664349,2.7737674713134766,976.2150895185769,1.1085660638430241,976.2150895185769
HW_GA_SAC_wo_camera,1,1,9038,True,False,False,success,908,191.2609195389163,9.984267234802246,12.815979355101017,2.565021514892578,1162.4870044142008,1.213360768654029,1162.4870044142008
HW_GA_SAC_wo_camera,1,1,9039,True,False,False,success,692,209.80137484487372,9.965435981750488,14.535629947233751,5.430290222167969,1004.9212028644979,1.0735645282721542,1004.9212028644979
HW_GA_SAC_wo_camera,1,1,9040,True,False,False,success,772,167.56914108387272,9.98493480682373,14.247066856279892,1.6224555969238281,1098.9320057183504,1.1115405005268164,1098.9320057183504
HW_GA_SAC_wo_camera,1,1,9041,True,False,False,success,756,115.78040643734079,9.989559173583984,13.443646841894381,0.42922893166542053,1014.8768425397575,1.113192146596275,1014.8768425397575
HW_GA_SAC_wo_camera,1,1,9042,True,False,False,success,710,204.10968691205633,9.995732307434082,14.442284782167892,3.426647186279297,1024.4642944447696,1.110991505354963,1024.4642944447696
HW_GA_SAC_wo_camera,1,1,9043,True,False,False,success,805,190.00873403704753,9.932798385620117,13.613029374543185,0.8262863159179688,1094.651852823794,1.1634483337612689,1094.651852823794
HW_GA_SAC_wo_camera,1,1,9044,True,False,False,success,1196,192.84525597828727,9.999859809875488,10.394159826247588,1.793212890625,1242.1093066856265,1.3418053455859003,1242.1093066856265
HW_GA_SAC_wo_camera,1,1,9045,True,False,False,success,778,213.46657165961622,9.972635269165039,13.523466265829793,4.346305847167969,1051.566747829318,1.1671896961100867,1051.566747829318
HW_GA_SAC_wo_camera,1,1,9046,True,False,False,success,797,203.8015357634656,9.944779396057129,13.433282897642894,3.8061447143554688,1069.8937278687954,1.1594379470737433,1069.8937278687954
